order x y placement_time restaurant ready_time 
o454 7752 8487 631 r27 643 
o158 9795 7793 280 r12 288 
o465 7985 9718 577 r72 592 
o160 8684 7256 605 r38 625 
o389 9045 7647 676 r84 694 
o233 10663 5616 74 r6 89 
o35 8613 10093 668 r16 672 
o419 6019 6199 262 r24 274 
o450 9145 10090 508 r12 513 
o491 5390 6792 552 r12 557 
o55 8335 8859 436 r1 449 
o4 11834 2687 563 r4 584 
o469 8438 9080 526 r116 543 
o5 3091 7890 598 r5 628 
o72 10688 8767 185 r15 190 
o427 5820 7470 527 r12 538 
o538 9664 8980 620 r108 640 
o377 8405 5226 692 r28 699 
o30 9165 6409 720 r14 730 
o216 7631 9417 573 r15 578 
o438 5555 6820 609 r1 660 
o385 7285 7766 608 r27 636 
o373 8253 8919 696 r16 701 
o179 7665 4847 266 r14 292 
o399 7778 7083 655 r14 665 
o358 8050 5912 22 r6 52 
o305 8717 10018 633 r39 641 
o209 8184 7171 501 r1 516 
o226 5562 5862 163 r29 193 
o434 8178 6169 371 r26 391 
o402 8332 7914 661 r15 672 
o165 5781 10527 426 r76 446 
o467 5505 7733 608 r12 618 
o8 6241 8500 190 r8 199 
o422 5539 7669 483 r16 489 
o204 7820 8564 477 r1 492 
o76 8619 8778 328 r11 358 
o60 6272 7114 620 r21 649 
o334 8570 5266 713 r21 725 
o393 8175 10865 660 r16 672 
o432 8250 8960 747 r16 755 
o174 8224 9972 579 r72 592 
o114 1895 8317 500 r23 506 
o332 7589 6006 159 r19 174 
o506 6815 8857 783 r57 788 
o167 8469 9898 543 r16 553 
o488 7684 9338 559 r1 564 
o431 8096 8905 675 r63 692 
o482 6968 7627 790 r14 800 
o477 7099 9064 475 r20 505 
o238 7244 8964 681 r9 693 
o298 8860 10501 186 r36 222 
o303 8230 9076 244 r98 262 
o269 3623 6076 633 r72 646 
o23 6381 7420 584 r20 614 
o500 7279 8143 793 r16 803 
o464 10295 8971 461 r84 478 
o322 1515 7939 559 r40 588 
o475 8187 6359 616 r12 618 
o514 4919 4737 144 r8 157 
o10 1699 5227 485 r10 495 
o509 847 7641 556 r23 568 
o405 7985 8982 163 r12 173 
o461 10279 9062 716 r21 732 
o40 1880 5917 714 r23 738 
o388 7317 9588 78 r110 97 
o349 8407 9011 530 r13 531 
o383 7010 10253 681 r3 702 
o397 8581 9952 596 r55 623 
o163 9015 9196 637 r72 653 
o534 6921 4351 384 r43 386 
o106 7164 9136 137 r59 142 
o141 1583 7733 510 r5 525 
o65 9997 8030 676 r14 706 
o251 7022 9696 617 r1 637 
o224 1040 8068 437 r23 452 
o95 5163 7947 287 r55 296 
o496 1518 6059 574 r120 583 
o327 3834 8079 741 r17 766 
o460 6555 6100 424 r42 439 
o146 8025 6828 587 r15 599 
o175 10925 2732 126 r43 132 
o409 6815 7860 329 r30 339 
o104 5965 7790 625 r14 635 
o248 7000 7563 699 r88 712 
o75 7228 10432 241 r12 247 
o412 9350 8898 495 r21 513 
o41 8693 9658 749 r16 755 
o335 7031 10588 413 r22 434 
o459 3974 8117 590 r25 625 
o274 7386 4845 423 r72 448 
o411 9590 5955 403 r42 416 
o457 8501 4767 573 r38 604 
o260 2896 6392 562 r5 585 
o515 7981 8458 143 r92 173 
o18 6596 10165 507 r2 512 
o304 8454 8923 672 r3 675 
o440 6607 7283 549 r21 563 
o13 2059 7761 555 r5 572 
o130 9750 5321 180 r14 190 
o62 9386 9889 609 r11 639 
o27 8700 10863 583 r24 591 
o56 2529 7616 430 r25 455 
o232 7935 7919 229 r20 259 
o9 8374 9305 611 r9 628 
o107 5731 6670 639 r60 640 
o309 7616 10096 647 r1 667 
o21 9079 10543 607 r18 614 
o267 6507 10311 636 r14 646 
o330 8883 8568 475 r11 505 
o266 8644 9324 649 r1 657 
o101 3548 8278 558 r17 579 
o235 7609 6025 248 r38 274 
o254 2486 7867 666 r1 684 
o240 1617 5389 184 r61 193 
o487 8814 10687 584 r18 609 
o513 4836 6472 219 r14 229 
o520 9902 7651 346 r53 353 
o289 7195 8499 590 r1 595 
o32 5232 8231 362 r17 382 
o139 6915 9914 605 r5 635 
o263 7348 7368 664 r1 684 
o516 7243 7617 459 r11 489 
o376 10613 8926 629 r24 635 
o183 7628 7540 747 r28 761 
o66 7586 5360 756 r38 784 
o84 9152 7955 328 r49 343 
o324 5340 6995 158 r88 190 
o147 9873 7713 599 r71 619 
o367 8523 10657 323 r45 353 
o533 9328 4993 292 r33 294 
o37 8809 10943 595 r29 601 
o346 7625 6817 272 r102 283 
o368 6605 8879 256 r42 268 
o444 8427 9010 777 r38 797 
o78 10064 7952 588 r33 598 
o498 8049 8734 659 r46 689 
o77 8403 6533 166 r45 187 
o73 7663 7088 544 r44 564 
o115 9847 5522 640 r30 650 
o92 8787 9600 590 r52 620 
o171 4662 7614 668 r44 678 
o408 8838 11097 501 r35 522 
o406 8669 6339 564 r36 569 
o262 10211 8577 651 r27 683 
o537 4254 5767 652 r28 669 
o417 7923 4524 252 r55 267 
o131 6453 10260 143 r66 173 
o208 8406 4717 593 r83 613 
o159 6856 6666 587 r74 607 
o359 7650 7311 603 r38 623 
o526 4748 7552 578 r69 603 
o234 9542 5643 488 r38 503 
o449 5787 6566 68 r40 99 
o121 9500 5641 634 r64 640 
o58 8313 9517 671 r38 682 
o222 7860 7378 676 r85 687 
o100 5934 8332 33 r58 34 
o470 8625 5647 593 r64 615 
o144 8309 9086 585 r28 593 
o410 9434 5801 718 r28 728 
o350 7295 6598 606 r60 607 
o79 9241 7302 382 r46 412 
o33 8371 8228 511 r26 541 
o481 4813 8777 297 r31 312 
o261 8199 8766 628 r36 633 
o135 7002 6725 697 r38 717 
o187 6288 8989 212 r77 242 
o188 7278 7555 248 r38 274 
o229 2058 5838 247 r25 267 
o54 5448 5902 622 r37 658 
o197 8752 9211 459 r79 462 
o404 5283 7157 718 r88 729 
o164 7769 4460 515 r43 529 
o34 8704 6029 602 r27 627 
o257 7278 9856 527 r70 532 
o116 8530 4303 93 r63 98 
o447 7063 7545 551 r57 561 
o387 5700 5642 527 r72 538 
o88 7940 5411 663 r50 673 
o518 9397 10007 135 r100 150 
o108 5595 5468 589 r57 598 
o136 2385 8318 442 r69 455 
o154 7570 5237 685 r72 697 
o381 2106 8154 287 r109 292 
o424 9653 9008 177 r95 182 
o155 8151 5454 706 r73 719 
o138 6952 9561 118 r70 122 
o129 8932 9473 637 r65 640 
o362 5385 7570 607 r104 637 
o312 4555 8151 278 r55 296 
o199 9520 8963 349 r73 366 
o97 10580 6979 573 r53 582 
o430 6420 8915 579 r90 595 
o504 9476 8270 614 r73 632 
o379 10281 8210 598 r108 627 
o178 10359 7689 746 r73 762 
o378 10289 8102 415 r107 420 
o480 9031 5703 194 r119 215 
o356 8817 5734 141 r103 171 
