courier on_time off_time x y 
c70 555 915 5895 10248 
c82 585 855 2071 8400 
c71 555 915 2187 8348 
c55 480 840 7238 10011 
c53 480 840 5712 7079 
c15 120 390 9269 2542 
c14 120 300 8774 9740 
c9 90 270 7971 4045 
c34 315 450 8216 7354 
c3 30 210 8153 6579 
c44 375 510 5662 7043 
c12 120 390 8947 9823 
c26 195 375 6200 10303 
c11 120 300 9340 2640 
c69 555 915 8634 10320 
c89 660 930 7972 6399 
c8 90 270 8178 8212 
c57 495 855 9382 9247 
c32 285 465 5263 8898 
c45 390 750 8482 6363 
c42 375 510 9371 8289 
c16 120 480 9386 2520 
c22 165 345 8223 8711 
c86 630 765 7841 6510 
c51 450 810 4323 7840 
c21 165 345 5905 10252 
c17 165 345 7774 6388 
c72 570 840 3771 6403 
c41 375 510 9383 2448 
c2 0 135 8355 7767 
c39 360 720 5683 7023 
c46 390 750 9432 2601 
c88 660 930 8202 8702 
c1 0 360 8388 7705 
c52 450 810 9220 8584 
c67 525 885 7757 6256 
c87 660 930 7907 8828 
c7 90 225 7274 10088 
c50 450 810 9267 9926 
c56 480 840 8648 8702 
c78 585 945 8979 10173 
c30 255 390 4312 7684 
c65 525 885 9463 9378 
c4 30 210 3974 6486 
c20 165 345 9306 9407 
c35 330 465 7801 6329 
c85 600 870 7904 8629 
c6 60 195 6766 8556 
c81 585 945 8066 8483 
c74 570 840 8165 8434 
c33 300 480 8470 6370 
c29 255 390 7920 6388 
c63 495 855 8191 7219 
c25 195 375 6975 10067 
c49 450 810 8248 8568 
c19 165 300 9308 9312 
c90 780 915 7786 6350 
c38 345 480 4280 8157 
c68 525 885 2136 8213 
c73 570 705 9216 10132 
c18 165 300 8336 8722 
c59 495 765 8222 7266 
c37 330 465 3646 6268 
c76 570 840 1358 7564 
c5 60 195 9591 6452 
c64 495 855 4946 8141 
c48 435 615 8089 8853 
c10 90 270 7261 9916 
c79 585 945 8300 7324 
