restaurant x y 
r27 7919 8812 
r12 6812 8389 
r72 7721 6169 
r38 8434 8955 
r84 9281 9937 
r6 9483 6427 
r16 9004 10144 
r24 9510 7048 
r1 7944 9227 
r4 10922 3940 
r116 4199 8241 
r5 2164 8401 
r15 8253 8449 
r108 8812 8942 
r28 8003 5075 
r14 7831 6390 
r39 8935 10159 
r29 8384 7231 
r26 8597 5147 
r76 6909 9998 
r8 3667 6378 
r11 7832 6494 
r21 7827 5399 
r23 4801 8121 
r19 7802 6423 
r57 8125 7181 
r63 7856 4171 
r20 7809 8165 
r9 8153 8489 
r36 8984 10201 
r98 9494 6591 
r40 5689 7000 
r10 5633 6891 
r110 6999 7156 
r13 7864 6332 
r3 8038 8856 
r55 8670 8654 
r43 9372 2520 
r59 4101 8583 
r120 2967 6184 
r17 6026 10178 
r42 8449 6444 
r30 8595 6196 
r88 3828 6203 
r22 6543 10175 
r25 3810 6588 
r92 8119 11047 
r2 6485 10087 
r60 8662 7047 
r18 9167 10036 
r61 4352 7755 
r53 8133 8326 
r49 9154 7822 
r71 7759 9867 
r45 9459 9352 
r33 9425 6967 
r102 8004 5787 
r46 9373 8444 
r44 8155 8736 
r52 9293 9456 
r35 6160 10442 
r66 6319 10244 
r83 7848 6438 
r74 8023 4237 
r69 3702 6319 
r64 6773 5941 
r85 8612 5092 
r58 8169 6503 
r31 5205 8800 
r77 5615 8946 
r37 6641 5813 
r79 9318 8641 
r70 9393 9899 
r50 7860 6050 
r100 7886 9132 
r109 2188 8135 
r95 8226 8819 
r73 9201 8510 
r65 7233 10149 
r104 9297 9697 
r90 1336 7494 
r107 8946 9684 
r119 6793 4964 
r103 9633 9432 
