order x y placement_time restaurant ready_time 
o501 5913 3643 497 r102 521 
o503 2342 3438 576 r93 588 
o308 4918 2548 235 r84 243 
o406 5359 5568 492 r1 512 
o100 1991 3864 540 r39 544 
o323 5589 5694 541 r13 550 
o494 5559 4361 171 r31 181 
o430 118 3438 73 r113 104 
o403 6802 3472 459 r22 469 
o4 5378 4350 566 r4 582 
o295 7084 6915 465 r54 485 
o453 9496 7381 709 r59 714 
o399 7571 4853 571 r53 597 
o381 7436 3222 659 r20 688 
o205 5792 4890 245 r16 275 
o457 8755 8029 600 r1 620 
o76 8175 7294 93 r3 123 
o6 10087 5710 131 r6 144 
o226 7479 6269 102 r1 112 
o28 7041 3920 621 r22 642 
o144 8234 7308 610 r1 620 
o216 3608 3620 732 r17 740 
o10 8901 6435 563 r9 593 
o176 10034 2592 538 r27 550 
o274 9515 7088 542 r22 554 
o7 3183 5750 588 r7 598 
o331 8018 6291 243 r1 253 
o66 3937 5735 198 r5 203 
o188 8315 5358 666 r62 686 
o98 7283 5819 503 r11 530 
o65 5460 4342 555 r19 576 
o243 7193 8413 516 r20 536 
o372 6935 5166 667 r77 680 
o37 8262 7190 458 r7 473 
o368 10877 2636 220 r17 226 
o248 10509 6909 698 r28 709 
o412 8382 5413 197 r2 210 
o255 1031 4906 568 r11 595 
o410 8286 6536 680 r69 692 
o252 9275 6566 578 r2 589 
o376 7119 5445 570 r3 600 
o15 3058 5431 646 r14 666 
o140 5590 8281 497 r21 506 
o123 6863 3989 591 r20 601 
o425 8121 8695 514 r39 519 
o80 8654 5591 610 r3 640 
o319 8735 6205 583 r77 597 
o284 4910 6097 587 r28 602 
o468 1631 5060 105 r11 125 
o193 5201 5339 240 r1 250 
o370 10255 5408 52 r67 91 
o379 8960 7355 775 r37 794 
o171 7881 4582 225 r31 234 
o70 9703 3567 188 r42 218 
o433 4860 5331 712 r39 717 
o160 7868 3260 184 r70 191 
o371 9337 7914 611 r63 613 
o46 8176 6178 306 r35 329 
o391 6657 7591 458 r91 471 
o149 2913 3287 225 r53 253 
o444 9064 2124 576 r30 581 
o286 6120 6046 498 r30 505 
o199 8358 6233 714 r37 731 
o454 6778 6003 739 r28 754 
o438 7701 3421 553 r55 555 
o134 6300 8588 533 r62 548 
o159 10186 6667 36 r67 56 
o449 8190 6771 222 r54 236 
o426 9594 6102 124 r112 154 
o182 5708 8141 561 r74 586 
o185 5698 8256 778 r52 788 
o467 1121 1736 124 r84 136 
o343 3761 6710 177 r103 188 
o440 7294 0 499 r101 506 
o502 3034 6848 289 r99 325 
