1,7951,6457,465,645,320
2,8167,6597,435,570,320
3,3651,4029,210,345,320
4,3830,4351,465,645,320
5,8702,6744,390,525,320
6,6752,2631,15,195,320
7,7742,4257,75,435,320
8,8194,6072,540,720,320
9,9321,6177,660,795,320
10,7829,5315,525,795,320
11,4258,5543,495,855,320
12,8729,8780,210,345,320
13,8516,3898,420,555,320
14,7980,4975,585,855,320
15,8148,5024,510,780,320
16,6813,3853,570,930,320
17,7740,4262,495,855,320
18,8074,6338,555,825,320
19,2152,5998,330,465,320
20,2206,6163,495,855,320
21,3759,1396,540,810,320
22,7790,4240,600,870,320
23,4282,6058,585,765,320
24,5878,8043,525,795,320
25,9548,4289,15,195,320
26,3575,4043,75,435,320
27,8174,6465,660,795,320
28,7930,4135,270,450,320
29,3851,4238,510,870,320
30,2094,6109,645,825,320
31,8101,6289,330,465,320
32,5579,4826,585,765,320
33,8725,8626,210,390,320
34,2099,6024,105,240,320
35,3918,6348,480,660,320
