restaurant x y 
r102 4035 5631 
r93 4326 5528 
r84 3748 1512 
r1 7760 4290 
r39 4779 5982 
r13 3919 4257 
r31 3645 4000 
r113 0 5272 
r22 8068 6258 
r4 7668 4039 
r54 7930 6482 
r59 9105 7987 
r53 6628 3848 
r20 7927 6892 
r16 7851 4334 
r3 8154 5065 
r6 10206 6168 
r17 7876 2737 
r9 9402 4724 
r27 8970 3034 
r7 8215 6213 
r5 6712 3804 
r62 9241 7709 
r11 2112 6016 
r19 4119 4099 
r77 5658 4704 
r28 8570 6686 
r2 8359 5019 
r69 8095 3714 
r14 5886 8078 
r21 4033 6411 
r67 9499 4223 
r37 9050 7897 
r42 9241 6312 
r70 8129 3316 
r63 9420 7581 
r35 8596 4824 
r91 8770 6019 
r30 8540 3981 
r55 7800 4216 
r112 8214 6102 
r74 6039 8151 
r52 6460 8109 
r103 3881 4164 
r101 10760 1625 
r99 6141 8160 
