courier ID,shift_start,shift_finish,x,y,speed
1,435,705,3832,1498,320
2,555,825,6736,3874,320
3,75,435,7742,4257,320
4,645,825,2094,6109,320
5,555,825,8074,6338,320
6,15,195,6752,2631,320
7,465,645,7745,6972,320
8,585,855,4432,5927,320
9,540,810,3519,4107,320
10,585,855,7980,4975,320
11,495,855,7740,4262,320
12,450,720,8054,6628,320
13,435,705,8070,6565,320
14,360,540,2161,6086,320
15,510,780,9372,6108,320
16,210,345,8729,8780,320
17,495,855,5991,8021,320
18,510,780,8148,5024,320
19,660,795,8174,6465,320
20,495,855,8095,6576,320
21,540,810,3759,1396,320
22,585,765,7910,4217,320
23,570,930,2142,6050,320
24,105,375,2156,6068,320
25,300,480,8345,6419,320
26,420,555,8144,6077,320
27,330,465,8101,6289,320
28,585,765,8191,6308,320
29,240,375,7897,4201,320
30,525,795,5878,8043,320
31,0,360,7881,6539,320
32,15,195,9548,4289,320
33,180,315,7854,6477,320
34,480,660,3918,6348,320
35,135,405,3650,4168,320
36,270,450,7930,4135,320
37,540,720,8194,6072,320
38,495,855,4258,5543,320
39,495,855,7853,7012,320
40,540,720,3740,4233,320
41,285,420,4333,5502,320
42,0,360,6129,8171,320
43,615,885,7778,4294,320
44,525,795,2336,6075,320
45,105,375,9018,5540,320
46,480,660,6797,6310,320
47,585,765,4282,6058,320
