restaurant x y 
r116 4115 6144 
r14 5886 8078 
r20 7927 6892 
r10 5330 6553 
r8 5517 4751 
r5 6712 3804 
r1 7760 4290 
r17 7876 2737 
r94 7466 4293 
r95 6991 7858 
r113 0 5272 
r11 2112 6016 
r28 8570 6686 
r77 5658 4704 
r18 7993 5082 
r21 4033 6411 
r27 8970 3034 
r3 8154 5065 
r31 3645 4000 
r102 4035 5631 
r19 4119 4099 
r16 7851 4334 
r33 8883 7552 
r65 7037 4985 
r13 3919 4257 
r9 9402 4724 
r24 7777 3265 
r15 6830 6272 
r66 9191 7902 
r53 6628 3848 
r90 8593 6346 
r56 7905 5989 
r100 8724 6625 
r2 8359 5019 
r22 8068 6258 
r44 9098 7800 
r62 9241 7709 
r85 7033 7974 
r84 3748 1512 
r7 8215 6213 
r106 7135 4053 
r67 9499 4223 
r81 7363 7810 
r59 9105 7987 
r105 7115 5000 
r34 4199 6218 
r42 9241 6312 
r104 7790 7010 
r93 4326 5528 
r35 8596 4824 
r30 8540 3981 
r39 4779 5982 
r37 9050 7897 
r68 7674 4282 
r58 7748 6882 
r50 6635 2677 
r108 8452 6458 
r92 9307 6132 
r63 9420 7581 
r89 8102 4455 
r75 9228 6289 
r103 3881 4164 
r99 6141 8160 
r111 8923 6471 
