courier on_time off_time x y 
c47 435 705 3832 1498 
c90 555 825 6736 3874 
c8 75 435 7742 4257 
c107 645 825 2094 6109 
c88 555 825 8074 6338 
c4 15 195 6752 2631 
c53 465 645 7745 6972 
c95 585 855 4432 5927 
c86 540 810 3519 4107 
c101 585 855 7980 4975 
c63 495 855 7740 4262 
c49 450 720 8054 6628 
c48 435 705 8070 6565 
c40 360 540 2161 6086 
c70 510 780 9372 6108 
c29 210 345 8729 8780 
c62 495 855 5991 8021 
c68 510 780 8148 5024 
c109 660 795 8174 6465 
c66 495 855 8095 6576 
c87 540 810 3759 1396 
c102 585 765 7910 4217 
c93 570 930 2142 6050 
c12 105 375 2156 6068 
c36 300 480 8345 6419 
c43 420 555 8144 6077 
c38 330 465 8101 6289 
c96 585 765 8191 6308 
c31 240 375 7897 4201 
c73 525 795 5878 8043 
c2 0 360 7881 6539 
c5 15 195 9548 4289 
c21 180 315 7854 6477 
c57 480 660 3918 6348 
c15 135 405 3650 4168 
c32 270 450 7930 4135 
c78 540 720 8194 6072 
c65 495 855 4258 5543 
c67 495 855 7853 7012 
c79 540 720 3740 4233 
c33 285 420 4333 5502 
c1 0 360 6129 8171 
c105 615 885 7778 4294 
c76 525 795 2336 6075 
c11 105 375 9018 5540 
c56 480 660 6797 6310 
c97 585 765 4282 6058
c14 135 495 3660 4039 
