order x y placement_time restaurant ready_time 
o487 6757 5992 181 r116 200 
o273 8836 6596 740 r14 754 
o280 5171 5021 565 r20 581 
o207 9419 6880 329 r10 344 
o424 5792 4538 558 r8 571 
o317 3798 3495 553 r5 575 
o429 7523 2291 760 r1 780 
o84 7117 3378 549 r20 554 
o463 5881 6329 420 r17 433 
o304 9309 5940 680 r94 697 
o383 6919 8310 585 r95 607 
o430 118 3438 73 r113 104 
o468 1631 5060 105 r11 125 
o248 10509 6909 698 r28 709 
o68 4095 3632 631 r1 641 
o49 842 4016 199 r11 230 
o442 8211 5520 137 r5 151 
o372 6935 5166 667 r77 680 
o236 5169 7356 518 r18 528 
o75 7451 6935 210 r21 219 
o176 10034 2592 538 r27 550 
o455 7034 4088 104 r5 119 
o107 7778 7938 528 r28 544 
o431 7701 4871 601 r1 621 
o76 8175 7294 93 r3 123 
o494 5559 4361 171 r31 181 
o342 2623 5695 555 r102 565 
o201 5982 5112 590 r19 608 
o17 8640 5798 647 r16 677 
o43 8914 6964 137 r33 144 
o143 6897 5617 208 r65 238 
o27 8673 7053 202 r21 208 
o319 8735 6205 583 r77 597 
o193 5201 5339 240 r1 250 
o175 6171 5739 462 r13 463 
o202 5806 2515 487 r17 502 
o10 8901 6435 563 r9 593 
o472 9384 5910 725 r17 734 
o179 6145 3302 558 r24 576 
o16 7607 6006 265 r15 268 
o266 10585 6052 100 r66 122 
o414 10314 7194 618 r1 638 
o230 8958 5946 669 r15 673 
o255 1031 4906 568 r11 595 
o285 6099 2536 235 r53 244 
o192 7703 7476 733 r1 743 
o364 9060 2783 561 r90 582 
o114 9642 6617 171 r56 201 
o112 3556 3440 485 r16 515 
o212 6293 4489 563 r28 575 
o312 7383 5092 403 r100 415 
o374 6965 5451 569 r2 589 
o289 8632 3917 514 r17 527 
o274 9515 7088 542 r22 554 
o271 7687 7032 511 r16 541 
o260 9669 7037 537 r44 569 
o469 6661 3840 190 r15 192 
o327 8057 3563 641 r20 666 
o492 5856 3369 633 r3 663 
o409 9740 7740 564 r66 594 
o257 8431 5537 602 r62 603 
o344 5060 4424 493 r1 518 
o213 9880 6858 580 r85 585 
o401 3536 3832 482 r84 494 
o26 6265 6016 623 r1 633 
o7 3183 5750 588 r7 598 
o361 6383 2551 543 r106 561 
o370 10255 5408 52 r67 91 
o446 5606 7219 196 r81 226 
o118 5526 6958 623 r59 649 
o484 7952 5436 776 r28 786 
o352 3609 5853 675 r105 690 
o267 6654 3673 297 r27 305 
o421 8673 6791 616 r100 638 
o483 3710 6275 603 r34 608 
o405 8125 6788 454 r42 484 
o346 3978 6648 568 r104 583 
o329 2173 5167 291 r93 304 
o46 8176 6178 306 r35 329 
o402 8496 2636 290 r30 300 
o477 2544 6006 564 r39 572 
o184 6073 5151 98 r31 105 
o379 8960 7355 775 r37 794 
o219 7814 7961 477 r66 488 
o420 7573 3413 541 r31 556 
o156 6824 4278 259 r68 274 
o353 6772 3673 228 r90 250 
o101 7864 2553 635 r53 655 
o389 9474 5274 166 r67 195 
o117 8876 5102 479 r58 509 
o89 7650 3244 24 r50 29 
o365 9153 3830 303 r108 323 
o316 9378 8174 524 r92 554 
o333 9485 7716 461 r63 465 
o434 6211 7686 621 r93 636 
o340 8074 4328 296 r89 300 
o345 8930 7197 586 r75 596 
o343 3761 6710 177 r103 188 
o306 3101 6869 4 r99 11 
o419 8871 6504 96 r111 106 
