courier on_time off_time x y 
c85 600 870 7904 8629 
c34 315 450 8216 7354 
c1 0 360 8388 7705 
c5 60 195 9591 6452 
c2 0 135 8355 7767 
c33 300 480 8470 6370 
c57 495 855 9382 9247 
c45 390 750 8482 6363 
c82 585 855 2071 8400 
c39 360 720 5683 7023 
c55 480 840 7238 10011 
c16 120 480 9386 2520 
c78 585 945 8979 10173 
c81 585 945 8066 8483 
c12 120 390 8947 9823 
c35 330 465 7801 6329 
c24 195 375 8438 6501 
c65 525 885 9463 9378 
c83 600 870 8247 8473 
c38 345 480 4280 8157 
c8 90 270 8178 8212 
c87 660 930 7907 8828 
c17 165 345 7774 6388 
c84 600 870 7848 9150 
c11 120 300 9340 2640 
c37 330 465 3646 6268
c75 525 795 7829 5315
