restaurant x y 
r48 8210 4955 
r36 8984 10201 
r1 7944 9227 
r27 7919 8812 
r9 8153 8489 
r28 8003 5075 
r21 7827 5399 
r38 8434 8955 
r22 6543 10175 
r10 5633 6891 
r16 9004 10144 
r18 9167 10036 
r15 8253 8449 
r12 6812 8389 
r5 2164 8401 
r73 9201 8510 
r57 8125 7181 
r11 7832 6494 
r17 6026 10178 
r8 3667 6378 
r3 8038 8856 
r43 9372 2520 
r94 4084 8425 
r84 9281 9937 
r39 8935 10159 
r23 4801 8121 
r20 7809 8165 
r45 9459 9352 
r46 9373 8444 
r49 9154 7822 
r58 8169 6503 
r78 6724 8604 
r35 6160 10442 
r55 8670 8654 
r75 8897 5489 
r25 3810 6588 
r30 8595 6196 
r88 3828 6203 
r66 6319 10244 
r70 9393 9899 
r53 8133 8326 
r68 4098 6265 
r80 9288 9803 
r107 8946 9684 
r119 6793 4964 
r103 9633 9432 
