courier on_time off_time x y 
c70 555 915 5895 10248 
c87 660 930 7907 8828 
c90 780 915 7786 6350 
c83 600 870 8247 8473 
c23 165 345 7789 6359 
c15 120 390 9269 2542 
c67 525 885 7757 6256 
c89 660 930 7972 6399 
c72 570 840 3771 6403 
c60 495 765 5225 8790 
c65 525 885 9463 9378 
c4 30 210 3974 6486 
c51 450 810 4323 7840 
c32 285 465 5263 8898 
c12 120 390 8947 9823 
c20 165 345 9306 9407 
c47 435 570 8202 8709 
c6 60 195 6766 8556 
c58 495 855 7739 6360 
c63 495 855 8191 7219 
c16 120 480 9386 2520 
c27 210 390 8104 8852 
c52 450 810 9220 8584 
c5 60 195 9591 6452 
c22 165 345 8223 8711 
c44 375 510 5662 7043 
c13 120 390 7861 8843 
c26 195 375 6200 10303 
c24 195 375 8438 6501 
c79 585 945 8300 7324 
c37 330 465 3646 6268 
c86 630 765 7841 6510 
c30 255 390 4312 7684 
c76 570 840 1358 7564 
c50 450 810 9267 9926 
c42 375 510 9371 8289 
c55 480 840 7238 10011 
c53 480 840 5712 7079 
c39 360 720 5683 7023 
c69 555 915 8634 10320 
c1 0 360 8388 7705 
c64 495 855 4946 8141 
c25 195 375 6975 10067 
c18 165 300 8336 8722 
c84 600 870 7848 9150 
c36 330 465 9056 9547 
c59 495 765 8222 7266 
c17 165 345 7774 6388 
c28 255 390 8409 6451 
c82 585 855 2071 8400 
c57 495 855 9382 9247 
