restaurant x y 
r21 7827 5399 
r73 9201 8510 
r25 3810 6588 
r16 9004 10144 
r12 6812 8389 
r38 8434 8955 
r58 8169 6503 
r18 9167 10036 
r31 5205 8800 
r1 7944 9227 
r13 7864 6332 
r36 8984 10201 
r5 2164 8401 
r23 4801 8121 
r11 7832 6494 
r34 9691 9133 
r17 6026 10178 
r14 7831 6390 
r84 9281 9937 
r57 8125 7181 
r27 7919 8812 
r61 4352 7755 
r72 7721 6169 
r67 6973 7170 
r19 7802 6423 
r89 7358 10051 
r43 9372 2520 
r22 6543 10175 
r110 6999 7156 
r48 8210 4955 
r2 6485 10087 
r9 8153 8489 
r80 9288 9803 
r20 7809 8165 
r24 9510 7048 
r106 9610 7066 
r42 8449 6444 
r99 7086 10177 
r94 4084 8425 
r29 8384 7231 
r28 8003 5075 
r83 7848 6438 
r60 8662 7047 
r47 8816 10285 
r37 6641 5813 
r88 3828 6203 
r117 8034 5566 
r33 9425 6967 
r45 9459 9352 
r30 8595 6196 
r74 8023 4237 
r75 8897 5489 
r46 9373 8444 
r102 8004 5787 
r62 2930 5185 
r32 5657 7012 
r66 6319 10244 
r65 7233 10149 
r53 8133 8326 
r95 8226 8819 
r69 3702 6319 
r55 8670 8654 
r70 9393 9899 
r90 1336 7494 
r119 6793 4964 
r107 8946 9684 
r103 9633 9432 
