order x y placement_time restaurant ready_time 
o176 7092 4870 509 r21 539 
o396 9051 8351 592 r73 610 
o292 1914 7912 577 r25 612 
o466 7626 10102 785 r16 792 
o491 5390 6792 552 r12 557 
o294 6167 7189 645 r38 655 
o247 10581 8394 611 r58 613 
o487 8814 10687 584 r18 609 
o103 2265 7801 614 r31 629 
o484 9739 9507 521 r1 539 
o320 10003 8083 641 r13 670 
o128 7554 6344 63 r12 83 
o143 8864 8734 681 r36 695 
o75 7228 10432 241 r12 247 
o149 5793 6647 537 r5 572 
o227 8006 5305 485 r21 503 
o217 8928 9111 653 r23 664 
o461 10279 9062 716 r21 732 
o330 8883 8568 475 r11 505 
o50 8892 8421 495 r34 508 
o372 6145 10238 561 r17 579 
o494 5799 5636 720 r14 730 
o474 10005 7972 680 r38 687 
o56 2529 7616 430 r25 455 
o442 4987 8606 604 r25 622 
o63 10017 8801 238 r11 268 
o464 10295 8971 461 r84 478 
o215 5486 7485 638 r57 648 
o509 847 7641 556 r23 568 
o385 7285 7766 608 r27 636 
o240 1617 5389 184 r61 193 
o130 9750 5321 180 r14 190 
o174 8224 9972 579 r72 592 
o13 2059 7761 555 r5 572 
o462 8406 8728 645 r12 647 
o133 10510 8764 174 r67 194 
o263 7348 7368 664 r1 684 
o467 5505 7733 608 r12 618 
o284 8286 9325 715 r57 725 
o273 10762 5678 613 r11 643 
o235 7609 6025 248 r38 274 
o436 9174 10036 579 r16 583 
o101 3548 8278 558 r17 579 
o420 8137 10968 765 r57 786 
o468 7029 4944 319 r19 334 
o125 8349 8784 730 r38 750 
o310 8583 10430 619 r12 629 
o250 9933 8628 92 r89 110 
o534 6921 4351 384 r43 386 
o25 8103 10189 689 r22 700 
o388 7317 9588 78 r110 97 
o334 8570 5266 713 r21 725 
o201 7272 8717 170 r1 187 
o184 3070 6395 579 r67 591 
o83 7295 3590 281 r48 293 
o414 7592 10427 537 r2 552 
o47 8804 7790 608 r9 623 
o361 7110 9725 792 r22 802 
o172 9714 9519 546 r1 564 
o198 8191 11025 581 r80 583 
o477 7099 9064 475 r20 505 
o376 10613 8926 629 r24 635 
o158 9795 7793 280 r12 288 
o483 6552 9989 576 r2 589 
o5 3091 7890 598 r5 628 
o209 8184 7171 501 r1 516 
o260 2896 6392 562 r5 585 
o141 1583 7733 510 r5 525 
o194 8569 9294 582 r27 607 
o214 5755 4988 151 r23 169 
o375 9466 5685 219 r106 236 
o411 9590 5955 403 r42 416 
o488 7684 9338 559 r1 564 
o179 7665 4847 266 r14 292 
o249 3853 6065 647 r23 653 
o86 8791 9222 591 r36 596 
o29 7466 10346 606 r1 636 
o318 9580 9251 486 r99 487 
o440 6607 7283 549 r21 563 
o499 5966 10405 720 r17 755 
o288 8191 8888 598 r94 616 
o401 7650 10311 677 r14 687 
o513 4836 6472 219 r14 229 
o507 5787 5640 715 r17 745 
o295 3862 4763 112 r5 136 
o132 5387 7454 640 r14 650 
o64 8440 8916 610 r29 635 
o226 5562 5862 163 r29 193 
o76 8619 8778 328 r11 358 
o120 5628 6910 483 r21 503 
o342 5239 7374 744 r28 755 
o390 7696 5117 593 r23 608 
o482 6968 7627 790 r14 800 
o69 7378 7713 310 r42 315 
o433 5212 7460 134 r73 152 
o208 8406 4717 593 r83 613 
o145 8723 5627 386 r42 394 
o229 2058 5838 247 r25 267 
o481 4813 8777 297 r31 312 
o350 7295 6598 606 r60 607 
o81 8799 11021 565 r47 580 
o282 7510 0 399 r43 400 
o96 6242 7877 642 r37 663 
o404 5283 7157 718 r88 729 
o142 9426 8101 315 r29 330 
o188 7278 7555 248 r38 274 
o473 8374 4947 584 r117 596 
o49 9507 10132 571 r33 583 
o77 8403 6533 166 r45 187 
o363 6255 8287 463 r30 478 
o218 5057 7112 158 r42 180 
o159 6856 6666 587 r74 607 
o161 8860 5068 544 r75 559 
o123 8231 7607 478 r46 508 
o406 8669 6339 564 r36 569 
o336 10389 7719 49 r27 79 
o166 7280 6326 337 r72 350 
o34 8704 6029 602 r27 627 
o489 6156 7249 184 r42 203 
o346 7625 6817 272 r102 283 
o111 4464 7836 611 r62 615 
o37 8809 10943 595 r29 601 
o79 9241 7302 382 r46 412 
o341 5651 6956 231 r42 254 
o444 8427 9010 777 r38 797 
o262 10211 8577 651 r27 683 
o317 8457 8383 514 r32 527 
o131 6453 10260 143 r66 173 
o181 6279 8075 587 r72 608 
o536 7044 6768 588 r38 613 
o493 8742 6023 612 r28 630 
o129 8932 9473 637 r65 640 
o290 9789 8949 180 r53 194 
o280 7495 9879 636 r60 637 
o424 9653 9008 177 r95 182 
o252 10573 6901 631 r75 655 
o287 9672 8741 364 r53 379 
o99 8407 8448 711 r57 721 
o136 2385 8318 442 r69 455 
o447 7063 7545 551 r57 561 
o105 10204 8851 667 r55 697 
o299 7340 9728 578 r53 589 
o257 7278 9856 527 r70 532 
o155 8151 5454 706 r73 719 
o430 6420 8915 579 r90 595 
o178 10359 7689 746 r73 762 
o333 6395 8821 635 r94 658 
o480 9031 5703 194 r119 215 
o378 10289 8102 415 r107 420 
o356 8817 5734 141 r103 171 
