restaurant x y 
r1 7760 4290 
r20 7927 6892 
r10 5330 6553 
r27 8970 3034 
r60 8464 2924 
r11 2112 6016 
r37 9050 7897 
r24 7777 3265 
r15 6830 6272 
r3 8154 5065 
r18 7993 5082 
r17 7876 2737 
r28 8570 6686 
r65 7037 4985 
r12 8169 6476 
r87 7791 4135 
r7 8215 6213 
r76 6037 6778 
r93 4326 5528 
r22 8068 6258 
r4 7668 4039 
r8 5517 4751 
r67 9499 4223 
r5 6712 3804 
r21 4033 6411 
r16 7851 4334 
r40 9528 5749 
r66 9191 7902 
r62 9241 7709 
r78 4278 5990 
r25 9342 4885 
r75 9228 6289 
r13 3919 4257 
r2 8359 5019 
r77 5658 4704 
r44 9098 7800 
r58 7748 6882 
r6 10206 6168 
r98 6413 8021 
r14 5886 8078 
r90 8593 6346 
r94 7466 4293 
r39 4779 5982 
r51 6802 4027 
r19 4119 4099 
r49 8574 2826 
r45 8147 6021 
r68 7674 4282 
r32 8917 3178 
r31 3645 4000 
r81 7363 7810 
r59 9105 7987 
r36 9466 4841 
r30 8540 3981 
r26 9180 7707 
r72 9106 5579 
r104 7790 7010 
r109 3822 4033 
r74 6039 8151 
r54 7930 6482 
r89 8102 4455 
r47 8306 4140 
r112 8214 6102 
r52 6460 8109 
r55 7800 4216 
r86 8792 8771 
r111 8923 6471 
r99 6141 8160 
r103 3881 4164 
