order x y placement_time restaurant ready_time 
o8 7107 5620 612 r1 622 
o338 8204 6629 641 r1 661 
o490 9637 7167 551 r20 556 
o207 9419 6880 329 r10 344 
o414 10314 7194 618 r1 638 
o176 10034 2592 538 r27 550 
o459 8941 3421 335 r60 355 
o25 8287 7554 625 r20 656 
o423 6932 7012 170 r1 180 
o56 144 5403 421 r11 441 
o93 5344 5465 168 r37 173 
o210 7956 3242 638 r24 661 
o307 2535 5822 368 r11 393 
o407 5921 6051 634 r20 656 
o230 8958 5946 669 r15 673 
o241 6595 6729 570 r3 600 
o54 7460 6754 740 r1 750 
o81 8410 6823 776 r1 786 
o119 8024 8671 187 r18 202 
o349 10082 3500 567 r17 581 
o324 5840 6515 603 r28 617 
o429 7523 2291 760 r1 780 
o18 7596 5628 571 r17 581 
o143 6897 5617 208 r65 238 
o495 6548 8698 437 r12 452 
o408 833 5458 555 r11 588 
o287 9845 5631 155 r87 185 
o427 9914 7728 584 r7 598 
o190 6114 4472 627 r76 657 
o123 6863 3989 591 r20 601 
o330 5646 5740 498 r93 524 
o253 10253 5825 162 r22 182 
o4 5378 4350 566 r4 582 
o229 2272 6099 108 r11 142 
o265 6066 8108 552 r12 562 
o299 7542 7226 674 r8 689 
o294 8590 5595 626 r22 642 
o344 5060 4424 493 r1 518 
o33 7294 5720 643 r27 667 
o497 7969 7395 199 r67 209 
o437 9808 6826 530 r1 540 
o452 5410 5278 569 r20 581 
o66 3937 5735 198 r5 203 
o140 5590 8281 497 r21 506 
o246 8524 6812 486 r1 506 
o205 5792 4890 245 r16 275 
o432 8883 6504 512 r40 532 
o145 6850 6090 630 r66 646 
o266 10585 6052 100 r66 122 
o411 9322 6771 538 r62 558 
o382 8243 6371 573 r1 593 
o28 7041 3920 621 r22 642 
o178 8744 8722 696 r37 704 
o472 9384 5910 725 r17 734 
o392 1248 5828 621 r78 633 
o395 6598 4172 371 r25 396 
o257 8431 5537 602 r62 603 
o350 8706 5448 549 r75 570 
o482 3307 3567 578 r11 608 
o121 5499 4361 59 r13 78 
o216 3608 3620 732 r17 740 
o252 9275 6566 578 r2 589 
o173 9156 3181 138 r16 168 
o191 9523 4086 216 r77 228 
o260 9669 7037 537 r44 569 
o471 8310 7537 742 r58 772 
o75 7451 6935 210 r21 219 
o49 842 4016 199 r11 230 
o6 10087 5710 131 r6 144 
o281 7357 7619 608 r98 623 
o20 4197 6232 598 r18 607 
o468 1631 5060 105 r11 125 
o255 1031 4906 568 r11 595 
o355 2936 7292 531 r14 551 
o234 10410 3537 92 r90 116 
o409 9740 7740 564 r66 594 
o304 9309 5940 680 r94 697 
o161 8243 4033 703 r1 713 
o457 8755 8029 600 r1 620 
o106 8768 8139 665 r39 673 
o2 8234 5342 541 r2 557 
o469 6661 3840 190 r15 192 
o297 5139 4483 577 r51 602 
o318 8596 7643 276 r1 286 
o168 5653 2682 228 r1 238 
o284 4910 6097 587 r28 602 
o148 8939 4361 117 r1 127 
o505 8097 3877 597 r7 604 
o202 5806 2515 487 r17 502 
o22 1612 5587 152 r19 160 
o279 8424 6800 613 r49 623 
o224 5704 6086 238 r87 268 
o9 8391 4889 680 r8 700 
o321 10397 6669 252 r1 262 
o208 9655 2663 604 r1 624 
o406 5359 5568 492 r1 512 
o12 7982 6698 313 r11 338 
o152 434 3269 177 r11 197 
o247 10155 3828 455 r22 469 
o367 10450 5291 671 r20 688 
o77 7940 4118 652 r45 679 
o156 6824 4278 259 r68 274 
o415 11320 1294 516 r32 531 
o460 4622 6502 497 r90 522 
o184 6073 5151 98 r31 105 
o446 5606 7219 196 r81 226 
o118 5526 6958 623 r59 649 
o42 8150 4551 146 r31 162 
o59 9246 3834 645 r24 671 
o48 4969 5622 659 r36 674 
o298 5335 4759 333 r39 341 
o41 8086 2759 620 r32 638 
o353 6772 3673 228 r90 250 
o478 10280 6521 338 r30 343 
o32 8703 6784 588 r26 615 
o92 9940 5739 774 r28 790 
o164 8572 3905 118 r72 133 
o448 10532 4660 268 r40 276 
o346 3978 6648 568 r104 583 
o484 7952 5436 776 r28 786 
o64 10706 6192 547 r40 572 
o377 8665 6848 744 r28 755 
o57 7915 2614 537 r24 558 
o379 8960 7355 775 r37 794 
o267 6654 3673 297 r27 305 
o402 8496 2636 290 r30 300 
o375 9155 7756 480 r44 483 
o238 5640 5342 176 r31 215 
o329 2173 5167 291 r93 304 
o181 8570 2655 720 r28 745 
o387 4620 5488 704 r109 718 
o434 6211 7686 621 r93 636 
o182 5708 8141 561 r74 586 
o449 8190 6771 222 r54 236 
o232 7599 6209 697 r89 724 
o79 8103 6825 197 r47 211 
o426 9594 6102 124 r112 154 
o187 9542 7943 176 r75 191 
o310 8987 6962 738 r75 753 
o218 9461 4982 184 r68 199 
o302 9990 6223 623 r51 648 
o476 5716 8431 704 r52 709 
o301 9062 7948 690 r90 705 
o110 10136 6355 108 r55 111 
o345 8930 7197 586 r75 596 
o223 7054 8025 220 r86 250 
o290 7549 8407 151 r81 171 
o419 8871 6504 96 r111 106 
o502 3034 6848 289 r99 325 
o343 3761 6710 177 r103 188 
