courier on_time off_time x y 
c100 585 765 5579 4826 
c65 495 855 4258 5543 
c116 750 885 7903 4222 
c4 15 195 6752 2631 
c113 705 885 7743 4156 
c108 645 825 8069 6551 
c33 285 420 4333 5502 
c79 540 720 3740 4233 
c47 435 705 3832 1498 
c97 585 765 4282 6058 
c35 300 480 3971 6144 
c106 615 750 7878 4274 
c83 540 810 8239 5013 
c111 660 795 9321 6177 
c56 480 660 6797 6310 
c17 165 300 7897 5941 
c101 585 855 7980 4975 
c109 660 795 8174 6465 
c37 300 480 2110 6177 
c60 480 660 7923 4231 
c72 510 780 7898 4023 
c44 420 555 8516 3898 
c82 540 720 3777 1534 
c14 135 495 3660 4039 
c2 0 360 7881 6539 
c20 165 300 2083 5994 
c15 135 405 3650 4168 
c63 495 855 7740 4262 
c29 210 345 8729 8780 
c5 15 195 9548 4289 
c75 525 795 7829 5315 
c19 165 435 7776 6050 
c28 210 390 8188 6486 
c46 435 570 8167 6597 
c84 540 720 8260 5024 
c91 555 825 8182 4998 
c92 570 930 6813 3853 
c90 555 825 6736 3874 
c38 330 465 8101 6289 
c16 150 330 7885 4204 
c96 585 765 8191 6308 
c11 105 375 9018 5540 
c42 390 525 8702 6744 
c32 270 450 7930 4135 
c99 585 765 7909 1955 
c24 195 465 4016 6360 
c94 570 930 6670 3762 
c57 480 660 3918 6348 
c89 555 825 4159 4050 
c98 585 765 7936 5127 
c39 330 465 2152 5998 
c104 600 870 7790 4240 
c25 210 345 8157 6649 
c52 450 720 8321 5134 
c31 240 375 7897 4201 
c8 75 435 7742 4257 
c22 195 465 2181 6004 
c34 285 465 4224 5507 
c13 105 240 2099 6024 
c30 210 345 5732 4718 
c51 450 720 9215 6400 
c58 480 660 8450 6588 
c45 420 600 8459 3910 
c3 15 195 9595 4319 
c71 510 870 7816 6920 
c36 300 480 8345 6419 
c112 705 885 8914 8023 
c27 210 345 3651 4029 
c1 0 360 6129 8171 
