restaurant x y 
r13 28678 14208 
r29 28840 15969 
r36 25239 17983 
r3 25481 17779 
r38 27639 20599 
r51 28778 14643 
r127 22502 20222 
r2 24887 17961 
r35 24165 19090 
r20 29199 14535 
r111 22473 18913 
r57 27760 20916 
r68 27646 19536 
r32 25607 24602 
r15 28602 14414 
r11 25024 18009 
r253 28449 14318 
r238 21708 20781 
r149 27078 18966 
r21 31927 5789 
r134 27948 20686 
r73 27634 21241 
r84 24457 11116 
r41 25661 20603 
r138 26144 21400 
r141 28042 13637 
r82 25772 22402 
r9 23030 21399 
r10 26059 21855 
r91 23079 18854 
r14 23827 17404 
r47 24200 24152 
r26 28565 16370 
r144 27029 18510 
r81 27950 20127 
r23 28799 15786 
r12 27701 21744 
r4 25614 18759 
r6 28969 15001 
r167 25603 17325 
r5 26534 18885 
r67 21089 20658 
r30 28503 14424 
r52 25750 17277 
r33 29679 16020 
r218 31148 5799 
r42 28029 14898 
r230 24199 24138 
r109 24864 18029 
r54 24834 16438 
r128 22090 26249 
r136 26123 20954 
r152 29133 16405 
r50 27435 15443 
r8 28847 17363 
r119 25374 18073 
r74 29180 16641 
r157 28901 17433 
r145 25263 12322 
r70 30790 348 
r234 28609 14656 
r154 27187 19867 
r113 28375 19218 
r45 21721 19548 
r107 24130 19319 
r66 29243 13180 
r115 27352 14532 
r110 27729 21140 
r34 27390 17389 
r1 27699 20679 
r213 26929 15323 
r19 24079 23582 
r156 26789 21491 
r60 27687 15836 
r112 28018 19770 
r174 27299 19915 
r97 27148 21243 
r92 27069 14740 
r137 24763 22923 
r85 27728 20361 
r214 21056 16568 
r140 24452 20484 
r53 25055 22926 
r63 27985 15828 
r76 27736 20853 
r89 25313 19816 
r83 22864 22131 
r205 27577 13012 
r100 26915 14985 
r117 25414 19725 
r80 29115 15396 
r181 24852 16596 
r71 24488 13477 
r132 28422 16419 
r170 26296 16437 
r183 27306 18217 
r150 27482 18771 
r126 28814 14755 
r121 29982 15208 
r186 27042 20086 
r241 27482 18193 
r221 28026 19848 
r190 29273 15491 
r197 28467 18027 
r239 20956 24535 
r159 29113 14649 
r155 28008 19870 
r164 21452 19014 
r162 23373 19393 
r229 18634 37042 
r245 3334 31944 
