order x y placement_time restaurant ready_time 
o1599 24900 15553 125 r13 127 
o461 28650 15409 602 r29 617 
o738 23547 18961 311 r36 331 
o21 23933 19152 771 r3 777 
o40 25081 17309 637 r36 666 
o1451 27945 20421 557 r38 568 
o1059 28858 13840 542 r29 554 
o1026 27126 18767 553 r38 568 
o1593 28837 15098 140 r51 141 
o1454 22347 19492 569 r127 583 
o712 24507 18990 657 r2 666 
o475 29908 16347 618 r35 642 
o1351 29910 15472 620 r20 639 
o805 21464 19154 624 r111 631 
o91 25377 22779 647 r57 650 
o1284 24810 19725 89 r68 93 
o359 26806 24339 440 r32 449 
o16 28857 13683 316 r15 321 
o1087 23677 18716 407 r11 422 
o1552 28305 16226 101 r253 103 
o1203 22280 23812 624 r238 636 
o1266 23912 18243 471 r149 498 
o25 32091 3836 263 r21 279 
o615 23731 18449 727 r2 735 
o279 29239 15289 353 r134 369 
o1194 27060 19560 589 r73 591 
o846 29911 16003 550 r2 554 
o1324 24396 14829 421 r84 462 
o1198 29027 17098 423 r41 457 
o1339 26988 22373 474 r138 479 
o1532 28745 16355 388 r141 393 
o170 25300 23420 184 r82 191 
o1346 22778 24461 633 r9 655 
o1237 26988 22720 214 r10 220 
o869 22291 19050 517 r91 547 
o1569 24100 15487 141 r14 152 
o54 25841 24934 441 r47 471 
o764 27807 14903 341 r26 362 
o1321 28648 13800 608 r144 621 
o118 25564 24330 581 r81 587 
o1520 28152 15820 580 r23 610 
o684 24550 24554 595 r32 607 
o13 27247 24974 502 r12 505 
o1617 25988 18891 136 r4 145 
o1376 29787 7787 644 r21 656 
o181 28015 18643 712 r23 732 
o204 21697 21464 471 r111 474 
o1373 22793 18200 335 r2 343 
o511 27820 14647 282 r6 290 
o1154 21772 17580 126 r35 128 
o368 27009 25122 284 r32 334 
o398 24012 17882 543 r167 574 
o1230 24502 16666 488 r5 496 
o1449 26209 17308 587 r5 598 
o87 21755 23519 313 r67 327 
o1277 28707 15053 106 r30 121 
o72 27358 14786 594 r2 600 
o1048 27419 17077 127 r36 132 
o439 23689 18835 639 r2 641 
o715 26118 16976 660 r52 661 
o55 27706 14463 757 r3 770 
o37 29218 11983 527 r33 547 
o941 31036 4695 419 r218 453 
o1354 29936 15466 503 r42 505 
o636 27494 23381 287 r23 307 
o958 30129 15339 142 r20 152 
o680 28211 15790 606 r51 607 
o290 28906 17724 556 r29 586 
o1233 23586 24785 767 r230 783 
o1306 25139 19119 139 r109 149 
o568 23709 18847 92 r54 102 
o1289 24147 27545 624 r128 635 
o361 26660 23757 132 r136 145 
o358 27945 16244 169 r152 182 
o1333 26461 14069 139 r50 154 
o1608 29027 17309 189 r67 201 
o1100 22858 19881 652 r127 665 
o74 27841 21115 251 r57 260 
o390 21605 20725 346 r91 373 
o8 30170 15938 559 r8 565 
o1137 28126 16530 129 r14 148 
o438 32523 6107 629 r21 666 
o267 25074 22987 527 r32 549 
o964 24334 15456 266 r119 274 
o123 29150 13864 779 r23 793 
o626 24166 23690 518 r73 521 
o1061 28337 16554 712 r74 713 
o380 28893 15504 543 r157 544 
o925 32580 2447 471 r21 476 
o587 31802 7057 663 r21 681 
o838 24546 11311 594 r145 605 
o1254 28659 15780 306 r8 307 
o1334 22236 17044 369 r12 371 
o1052 32309 6112 712 r70 750 
o1066 28815 14687 146 r234 156 
o1345 27202 21988 603 r154 628 
o1305 28017 18891 258 r113 272 
o1207 21831 20901 211 r45 227 
o908 25739 19766 168 r136 177 
o99 21856 19029 527 r57 531 
o641 25995 23363 181 r107 192 
o943 29074 13029 520 r51 538 
o1308 29334 12049 482 r66 496 
o1030 29856 9311 140 r21 185 
o1440 29135 16480 581 r20 586 
o1469 28910 17078 617 r73 633 
o221 26097 13878 719 r115 734 
o845 27162 21037 595 r110 610 
o477 31173 5609 260 r21 330 
o1132 28814 15142 148 r34 160 
o456 27784 18590 618 r1 648 
o904 28911 15041 119 r213 125 
o1637 29394 16408 470 r38 495 
o686 21992 19812 525 r14 539 
o1626 23177 24795 543 r19 565 
o1258 28456 16225 676 r23 691 
o534 27192 22364 671 r156 684 
o1386 23572 19580 597 r36 607 
o748 29660 16677 539 r3 544 
o510 28220 15865 432 r68 444 
o1455 28050 18988 567 r60 579 
o373 25641 17074 233 r74 239 
o1217 25620 22028 238 r107 242 
o643 27794 16431 575 r54 595 
o527 28122 21437 462 r112 477 
o746 25062 24070 221 r174 248 
o322 26641 27005 378 r97 398 
o1092 24386 17156 635 r54 654 
o1432 28916 17974 370 r92 375 
o911 25006 21353 609 r57 611 
o1317 28100 20787 221 r137 236 
o1466 24176 14933 34 r92 40 
o1286 25118 22005 603 r85 606 
o1080 23008 18771 685 r91 723 
o1583 22523 20515 647 r54 659 
o1533 22442 14966 555 r214 582 
o592 21316 19968 539 r140 557 
o208 25932 26576 355 r81 358 
o1540 25444 11841 339 r145 357 
o334 27533 23365 572 r53 604 
o1634 26121 13614 573 r63 602 
o608 27119 20798 757 r137 776 
o108 27675 20624 556 r76 572 
o918 23114 18480 712 r54 731 
o313 27383 21058 540 r89 545 
o326 28264 19250 671 r144 703 
o415 27922 20105 153 r57 160 
o120 20953 24644 601 r83 606 
o1570 26868 12610 641 r205 667 
o400 23705 18631 166 r144 176 
o1146 22745 24118 481 r137 494 
o171 29078 15078 690 r100 715 
o152 25532 17024 300 r74 304 
o1173 24829 22878 634 r117 649 
o930 28827 17823 84 r54 102 
o1586 27970 20016 209 r136 219 
o520 26501 15543 257 r80 262 
o498 23460 16831 97 r181 112 
o1397 25829 13704 609 r71 618 
o622 24817 21692 633 r81 635 
o278 27345 14526 613 r132 627 
o491 26972 24699 627 r97 644 
o1300 26845 21537 554 r81 563 
o1220 23414 18898 666 r91 698 
o1311 26584 12423 498 r71 520 
o405 23809 16535 707 r170 715 
o1462 25400 21378 482 r183 508 
o1298 26746 15662 141 r54 162 
o1601 25688 20654 524 r183 551 
o535 27995 18336 432 r138 452 
o1356 26978 19141 517 r144 532 
o1613 22240 19296 538 r127 552 
o1457 29574 16152 526 r141 536 
o1139 22821 23994 412 r230 426 
o722 28144 21098 339 r150 359 
o1362 28916 14827 107 r126 128 
o238 29439 15400 550 r121 575 
o488 27122 18835 95 r112 113 
o1588 27372 18417 634 r113 660 
o194 24954 19726 775 r109 777 
o1131 25084 20414 518 r186 527 
o1125 29517 15662 612 r205 631 
o437 27977 20524 607 r154 632 
o1302 28903 14401 720 r241 737 
o284 26471 21567 562 r136 583 
o372 26280 22494 465 r156 483 
o961 29345 15310 594 r221 609 
o1142 28061 19614 173 r190 192 
o668 28979 16527 136 r197 147 
o1265 27229 25013 729 r239 744 
o496 26779 13918 563 r141 582 
o1197 28320 14795 567 r159 578 
o540 30039 15943 103 r157 108 
o1564 28028 20346 342 r155 349 
o1363 24276 21467 508 r230 530 
o1408 19834 18136 446 r164 461 
o388 21946 19812 703 r162 729 
o1065 19602 35289 504 r229 519 
o1523 2196 33874 563 r245 586 
o1435 0 32517 575 r245 598 
