courier on_time off_time x y 
c241 600 870 28801 16017 
c182 525 795 26906 20915 
c194 525 795 28744 15902 
c55 150 510 27666 20931 
c221 570 930 28747 14695 
c147 480 660 27419 18110 
c189 525 795 25163 18240 
c71 225 495 27318 19894 
c31 105 465 27329 18119 
c37 105 465 25031 17977 
c103 360 540 28492 16367 
c227 570 930 26849 21425 
c63 195 375 28032 20047 
c67 210 345 24293 24128 
c162 495 855 32035 5691 
c15 60 420 29421 15343 
c112 420 600 28055 19777 
c24 90 225 27799 21008 
c107 375 510 28434 16325 
c178 510 870 27684 21044 
c115 420 690 24524 11310 
c101 345 705 27043 20119 
c228 570 930 25087 17994 
c2 0 360 24996 17992 
c164 495 855 29336 16513 
c92 330 600 28423 16348 
c16 60 420 24392 13533 
c51 135 270 29199 16443 
c43 120 480 29338 16975 
c132 465 735 32028 5759 
c5 30 210 28354 15705 
c235 585 855 25055 22733 
c239 585 855 25241 17899 
c119 420 600 32008 5806 
c85 315 450 29198 16208 
c28 90 360 27966 19870 
c19 90 360 27897 14819 
c122 435 795 29144 15366 
c191 525 795 27747 20662 
c173 510 780 28756 14586 
c149 480 840 27320 18338 
c160 495 855 24198 24278 
c56 150 330 26483 18905 
c167 495 855 24686 23103 
c211 540 810 27413 14469 
c81 300 570 27714 20564 
c125 435 795 25642 24695 
c44 120 480 23285 24556 
c40 120 255 25002 18087 
c58 150 330 27343 15477 
c252 705 885 27419 14534 
c202 540 900 28848 15926 
c198 540 900 29246 16545 
c127 435 795 24163 19053 
c137 465 735 27087 18971 
c249 705 885 28547 16291 
c172 510 870 27267 19045 
c59 150 330 28984 15129 
c195 525 795 27662 20729 
c246 615 975 22998 21470 
