order x y placement_time restaurant ready_time 
o460 28194 21331 91 r174 104 
o428 22270 20083 701 r54 718 
o1333 26461 14069 139 r50 154 
o666 25146 14874 226 r3 246 
o1479 29621 15231 460 r152 462 
o1059 28858 13840 542 r29 554 
o1066 28815 14687 146 r234 156 
o1396 20785 23338 198 r120 206 
o213 28690 17583 611 r34 614 
o1345 27202 21988 603 r154 628 
o1227 27422 18608 485 r23 502 
o1056 26927 14731 556 r20 572 
o1196 29003 17505 488 r96 503 
o1542 23146 19612 637 r18 680 
o1436 28160 16402 651 r38 667 
o636 27494 23381 287 r23 307 
o1424 31012 7012 593 r21 608 
o300 29555 15924 246 r46 248 
o1421 27236 12676 468 r20 496 
o700 22114 23495 614 r128 635 
o482 28036 20400 572 r73 573 
o1229 23228 21266 64 r35 78 
o1170 28606 18367 213 r199 226 
o1451 27945 20421 557 r38 568 
o159 23988 16536 349 r91 378 
o623 24957 19655 386 r9 413 
o366 25510 18132 529 r154 549 
o245 31897 6028 551 r21 596 
o40 25081 17309 637 r36 666 
o525 30011 15330 664 r29 684 
o45 26863 20359 562 r38 587 
o1140 29038 15639 558 r40 569 
o1101 27003 20280 473 r124 477 
o343 27728 16275 506 r2 511 
o926 27558 14499 601 r29 616 
o842 29063 16389 47 r6 67 
o771 23642 16754 545 r14 575 
o972 25841 21944 385 r37 387 
o1238 25610 16306 474 r101 504 
o1272 24848 25494 313 r32 333 
o290 28906 17724 556 r29 586 
o1035 28995 16803 507 r59 537 
o846 29911 16003 550 r2 554 
o257 26745 19730 542 r81 548 
o94 24541 16149 470 r2 473 
o815 28298 17497 582 r29 600 
o22 25410 24386 486 r18 511 
o375 28699 13440 718 r115 733 
o307 26355 14437 177 r26 199 
o1256 29182 12051 421 r7 465 
o1449 26209 17308 587 r5 598 
o523 30819 13280 116 r66 141 
o1611 27028 12651 175 r122 184 
o1497 26810 20761 625 r38 658 
o170 25300 23420 184 r82 191 
o1629 32110 5741 362 r21 369 
o889 28327 15750 553 r29 564 
o806 28861 15398 106 r23 150 
o832 23685 18971 115 r5 130 
o719 26000 19492 429 r110 444 
o84 29398 12601 599 r66 613 
o643 27794 16431 575 r54 595 
o154 26449 26237 625 r81 627 
o746 25062 24070 221 r174 248 
o578 23612 19776 618 r69 620 
o895 28509 18702 83 r54 99 
o391 28922 17723 149 r163 174 
o427 23278 11953 205 r92 206 
o810 27001 19663 613 r210 639 
o1610 25865 19630 513 r112 525 
o550 27027 20091 496 r154 516 
o1586 27970 20016 209 r136 219 
o405 23809 16535 707 r170 715 
o445 29804 15637 475 r88 478 
o555 26255 21309 128 r81 129 
o413 28481 14278 196 r86 216 
o1247 21880 20473 602 r91 647 
o916 27898 15768 529 r54 550 
o601 22216 12417 109 r145 121 
o1018 28451 19599 503 r99 520 
o232 24219 18513 650 r81 650 
o802 24553 14656 129 r181 139 
o781 27773 21516 157 r57 165 
o377 24916 17147 86 r158 104 
o652 29484 16145 204 r198 237 
o1270 29675 15345 245 r126 262 
o1496 27629 21383 520 r110 537 
o585 29002 14302 656 r129 706 
o312 25403 16001 695 r142 722 
o340 29462 16091 197 r147 199 
o892 29237 14095 603 r129 653 
o836 21294 20770 543 r127 560 
o401 26910 22624 531 r169 536 
o1565 28873 14887 103 r121 110 
o816 27025 19248 426 r113 452 
o1191 29610 16729 115 r190 125 
o905 28149 20276 172 r157 177 
o1044 22622 21681 608 r230 622 
o1371 6349 34661 521 r245 541 
o1435 0 32517 575 r245 598 
