courier on_time off_time x y 
c13 60 420 24167 19088 
c18 90 360 24925 16585 
c239 585 855 25241 17899 
c137 465 735 27087 18971 
c175 510 780 29327 16399 
c119 420 600 32008 5806 
c85 315 450 29198 16208 
c2 0 360 24996 17992 
c90 315 675 28012 14702 
c191 525 795 27747 20662 
c9 45 225 28970 15015 
c164 495 855 29336 16513 
c138 465 735 27716 20608 
c65 210 345 25275 18246 
c47 135 270 28537 14707 
c43 120 480 29338 16975 
c37 105 465 25031 17977 
c128 435 795 27290 20016 
c3 0 360 28811 15891 
c170 495 855 28631 16169 
c166 495 855 28012 19814 
c100 345 705 27718 20641 
c206 540 810 28082 19758 
c53 135 270 27592 20545 
c16 60 420 24392 13533 
c213 555 825 28497 16215 
c186 525 795 26712 21493 
c12 60 420 28407 14432 
c36 105 465 29068 16090 
c147 480 660 27419 18110 
c56 150 330 26483 18905
c224 570 930 22962 18876 
