restaurant x y 
r20 29199 14535 
r27 25211 18233 
r73 27634 21241 
r29 28840 15969 
r54 24834 16438 
r18 25704 21379 
r104 28466 14504 
r174 27299 19915 
r53 25055 22926 
r41 25661 20603 
r199 29575 16191 
r21 31927 5789 
r6 28969 15001 
r2 24887 17961 
r152 29133 16405 
r167 25603 17325 
r145 25263 12322 
r46 28482 14518 
r90 29161 14808 
r126 28814 14755 
r138 26144 21400 
r45 21721 19548 
r35 24165 19090 
r129 29156 16246 
r23 28799 15786 
r1 27699 20679 
r110 27729 21140 
r87 27898 20573 
r139 27020 9287 
r196 28822 15825 
r26 28565 16370 
r40 29295 16462 
r34 27390 17389 
r12 27701 21744 
r36 25239 17983 
r213 26929 15323 
r92 27069 14740 
r120 23322 24615 
r57 27760 20916 
r143 25590 23703 
r166 27439 14606 
r58 21810 23787 
r117 25414 19725 
r142 26596 15593 
r163 29304 17060 
r101 28023 14832 
r113 28375 19218 
r127 22502 20222 
r236 27405 21354 
r156 26789 21491 
r165 29178 17010 
r169 27749 20661 
r250 26126 15267 
r245 3334 31944 
