order x y placement_time restaurant ready_time 
o962 28654 15035 79 r20 98 
o129 21521 17908 530 r27 558 
o1194 27060 19560 589 r73 591 
o290 28906 17724 556 r29 586 
o519 22630 19641 28 r54 50 
o272 25992 23990 561 r18 586 
o887 28236 16409 242 r104 247 
o460 28194 21331 91 r174 104 
o493 25994 23120 538 r53 566 
o112 27930 21930 733 r41 758 
o1170 28606 18367 213 r199 226 
o1433 32349 6377 244 r21 268 
o6 28862 13986 157 r6 168 
o1621 25172 17509 670 r2 675 
o358 27945 16244 169 r152 182 
o850 28520 15149 133 r2 148 
o398 24012 17882 543 r167 574 
o838 24546 11311 594 r145 605 
o300 29555 15924 246 r46 248 
o331 28551 15434 518 r90 529 
o1661 29367 13491 290 r126 292 
o302 25176 21348 227 r138 242 
o1343 21849 19120 608 r45 621 
o39 22373 17144 619 r35 646 
o529 28457 16222 713 r129 763 
o423 27811 15318 555 r41 574 
o754 28651 15666 595 r23 610 
o1114 28949 17343 550 r1 579 
o1370 29695 16784 503 r23 514 
o1486 24866 20917 550 r110 555 
o382 27436 20476 547 r87 571 
o305 29615 10652 772 r139 784 
o790 27923 16026 660 r196 667 
o1628 27735 14662 346 r26 379 
o870 26785 16136 440 r20 455 
o1470 29966 15536 531 r40 535 
o707 26136 16367 740 r34 751 
o1670 27023 22860 490 r12 491 
o570 25322 16773 115 r54 139 
o259 24883 16647 623 r36 634 
o1560 32146 5312 423 r21 432 
o20 26030 17811 694 r2 703 
o861 30962 4252 653 r21 661 
o1227 27422 18608 485 r23 502 
o1655 26000 16095 145 r213 151 
o1432 28916 17974 370 r92 375 
o1466 24176 14933 34 r92 40 
o277 20518 25017 305 r120 320 
o1434 26296 25244 584 r57 586 
o504 24134 24276 619 r143 662 
o1431 27796 22185 208 r57 209 
o873 25342 13286 103 r166 122 
o692 24759 20896 236 r58 251 
o1525 26766 25778 510 r57 515 
o921 28095 21125 599 r138 611 
o1173 24829 22878 634 r117 649 
o556 26093 26272 664 r57 666 
o402 24654 14425 539 r142 559 
o391 28922 17723 149 r163 174 
o949 26065 15922 219 r92 220 
o697 26969 12748 495 r101 525 
o264 28054 20844 502 r87 510 
o298 28180 20555 574 r113 590 
o1104 28850 12618 582 r145 595 
o750 24595 18289 675 r127 693 
o836 21294 20770 543 r127 560 
o1605 24880 22441 649 r236 669 
o897 27242 22974 640 r156 662 
o1464 28262 18930 643 r113 662 
o352 28048 18240 524 r113 542 
o1107 28986 18006 520 r165 544 
o595 24314 21360 466 r169 469 
o1480 26078 16372 179 r250 183 
o1523 2196 33874 563 r245 586 
o1435 0 32517 575 r245 598 
