courier on_time off_time x y 
c153 480 660 27648 20754 
c84 315 675 28606 14591 
c2 0 360 24996 17992 
c92 330 600 28423 16348 
c226 570 930 25145 18206 
c156 480 840 25683 25864 
c155 480 660 27323 18369 
c37 105 465 25031 17977 
c91 315 675 28994 17334 
c212 555 915 27448 18332 
c18 90 360 24925 16585 
c42 120 480 28860 15079 
c231 585 855 27722 20658 
c14 60 420 24862 18021 
c200 540 810 29296 16471 
c116 420 600 27645 20749 
c145 480 840 28891 14696 
c82 315 675 27707 20555 
c187 525 795 25145 18241 
c237 585 855 27661 20729 
c240 600 735 25164 17929 
c233 585 855 25268 18154 
c205 540 810 28606 16265
c88 315 675 28506 15255  
