restaurant x y 
r44 8155 8736 
r59 4101 8583 
r15 8253 8449 
r94 4084 8425 
r28 8003 5075 
r8 3667 6378 
r29 8384 7231 
r115 8510 11265 
r16 9004 10144 
r114 6827 6041 
r5 2164 8401 
r19 7802 6423 
r84 9281 9937 
r1 7944 9227 
r14 7831 6390 
r40 5689 7000 
r6 9483 6427 
r57 8125 7181 
r21 7827 5399 
r12 6812 8389 
r38 8434 8955 
r25 3810 6588 
r48 8210 4955 
r60 8662 7047 
r73 9201 8510 
r61 4352 7755 
r39 8935 10159 
r76 6909 9998 
r23 4801 8121 
r37 6641 5813 
r27 7919 8812 
r3 8038 8856 
r17 6026 10178 
r112 4295 8149 
r11 7832 6494 
r55 8670 8654 
r24 9510 7048 
r120 2967 6184 
r72 7721 6169 
r99 7086 10177 
r2 6485 10087 
r9 8153 8489 
r113 2699 8059 
r92 8119 11047 
r87 6970 8762 
r78 6724 8604 
r41 7928 5631 
r33 9425 6967 
r49 9154 7822 
r46 9373 8444 
r32 5657 7012 
r52 9293 9456 
r47 8816 10285 
r107 8946 9684 
r45 9459 9352 
r109 2188 8135 
r53 8133 8326 
r69 3702 6319 
r81 7863 5822 
r75 8897 5489 
r80 9288 9803 
r90 1336 7494 
r103 9633 9432 
r119 6793 4964 
