courier on_time off_time x y 
c45 390 750 8482 6363 
c51 450 810 4323 7840 
c75 570 705 7788 6296 
c4 30 210 3974 6486 
c17 165 345 7774 6388 
c22 165 345 8223 8711 
c27 210 390 8104 8852 
c32 285 465 5263 8898 
c81 585 945 8066 8483 
c38 345 480 4280 8157 
c69 555 915 8634 10320 
c40 360 720 9266 2540 
c46 390 750 9432 2601 
c56 480 840 8648 8702 
c61 495 765 9414 9297 
c15 120 390 9269 2542 
c72 570 840 3771 6403 
c76 570 840 1358 7564 
c79 585 945 8300 7324 
c66 525 885 4133 8221 
c5 60 195 9591 6452 
c30 255 390 4312 7684 
c58 495 855 7739 6360 
c86 630 765 7841 6510 
c59 495 765 8222 7266 
c6 60 195 6766 8556 
c34 315 450 8216 7354 
c41 375 510 9383 2448 
c23 165 345 7789 6359 
c82 585 855 2071 8400 
c36 330 465 9056 9547 
c21 165 345 5905 10252 
c25 195 375 6975 10067 
