order x y placement_time restaurant ready_time 
o89 9614 9607 610 r44 626 
o106 7164 9136 137 r59 142 
o374 9852 9305 525 r15 540 
o288 8191 8888 598 r94 616 
o458 8113 5394 125 r28 147 
o219 3209 8015 330 r8 337 
o291 7361 8547 224 r29 241 
o435 10618 9071 434 r115 460 
o466 7626 10102 785 r16 792 
o425 7547 5106 191 r114 202 
o260 2896 6392 562 r5 585 
o522 6031 5470 368 r19 388 
o464 10295 8971 461 r84 478 
o74 8531 7936 528 r1 545 
o264 5582 8045 119 r14 129 
o61 3750 8455 623 r40 652 
o223 5215 7872 285 r8 292 
o453 10560 9036 81 r6 94 
o19 8322 7878 718 r16 727 
o506 6815 8857 783 r57 788 
o120 5628 6910 483 r21 503 
o279 7175 9707 478 r1 502 
o450 9145 10090 508 r12 513 
o148 8046 5904 664 r38 674 
o156 6535 10076 144 r19 168 
o459 3974 8117 590 r25 625 
o83 7295 3590 281 r48 293 
o107 5731 6670 639 r60 640 
o482 6968 7627 790 r14 800 
o371 9788 9076 549 r1 564 
o396 9051 8351 592 r73 610 
o190 116 7612 460 r61 475 
o305 8717 10018 633 r39 641 
o165 5781 10527 426 r76 446 
o42 8627 9979 506 r23 524 
o495 8105 8897 666 r12 673 
o259 6893 4619 579 r37 595 
o231 7186 7297 685 r14 695 
o39 8526 8959 681 r27 690 
o22 7968 8849 142 r19 157 
o457 8501 4767 573 r38 604 
o186 8760 8843 663 r3 688 
o5 3091 7890 598 r5 628 
o293 8277 8958 178 r17 211 
o17 4529 8756 520 r15 535 
o475 8187 6359 616 r12 618 
o454 7752 8487 631 r27 643 
o398 6232 8460 347 r112 366 
o402 8332 7914 661 r15 672 
o63 10017 8801 238 r11 268 
o397 8581 9952 596 r55 623 
o419 6019 6199 262 r24 274 
o494 5799 5636 720 r14 730 
o315 9080 10597 588 r55 608 
o213 2851 7619 546 r5 566 
o496 1518 6059 574 r120 583 
o174 8224 9972 579 r72 592 
o318 9580 9251 486 r99 487 
o414 7592 10427 537 r2 552 
o393 8175 10865 660 r16 672 
o47 8804 7790 608 r9 623 
o294 6167 7189 645 r38 655 
o535 2704 5514 387 r113 397 
o517 10426 8926 794 r92 824 
o472 7776 7469 649 r27 683 
o144 8309 9086 585 r28 593 
o135 7002 6725 697 r38 717 
o323 8813 5019 184 r38 212 
o211 5661 5089 685 r37 694 
o183 7628 7540 747 r28 761 
o54 5448 5902 622 r37 658 
o244 7153 5847 303 r87 314 
o410 9434 5801 718 r28 728 
o237 8235 9550 634 r78 664 
o437 3681 7955 646 r57 656 
o68 8795 8999 583 r41 611 
o49 9507 10132 571 r33 583 
o84 9152 7955 328 r49 343 
o79 9241 7302 382 r46 412 
o317 8457 8383 514 r32 527 
o92 8787 9600 590 r52 620 
o81 8799 11021 565 r47 580 
o403 9733 5731 664 r55 694 
o416 9956 8958 122 r107 145 
o270 10135 7535 533 r45 563 
o124 10570 9061 740 r38 755 
o355 3274 5234 571 r25 601 
o381 2106 8154 287 r109 292 
o452 10713 7259 578 r60 580 
o301 8235 9136 622 r73 632 
o280 7495 9879 636 r60 637 
o299 7340 9728 578 r53 589 
o136 2385 8318 442 r69 455 
o206 7272 5972 691 r81 711 
o154 7570 5237 685 r72 697 
o252 10573 6901 631 r75 655 
o307 10366 7927 613 r80 615 
o430 6420 8915 579 r90 595 
o356 8817 5734 141 r103 171 
o480 9031 5703 194 r119 215 
