order x y placement_time restaurant ready_time 
o671 29596 16311 423 r199 433 
o1438 24020 19448 208 r113 223 
o113 32928 5418 232 r31 241 
o1170 28606 18367 213 r199 226 
o970 26104 15258 83 r26 98 
o1661 29367 13491 290 r126 292 
o771 23642 16754 545 r14 575 
o1657 29140 11994 210 r198 233 
o1631 29915 11589 607 r51 608 
o513 27192 21758 307 r76 313 
o1088 25151 16354 125 r2 126 
o1402 28884 15441 198 r23 217 
o871 29398 16814 562 r48 571 
o1280 22902 19097 282 r111 286 
o796 30352 16176 412 r51 422 
o1377 27562 21665 612 r38 649 
o659 23140 18424 386 r9 421 
o40 25081 17309 637 r36 666 
o1124 27921 20791 474 r41 488 
o913 25790 16747 569 r78 594 
o691 25489 17898 657 r35 671 
o1258 28456 16225 676 r23 691 
o837 26125 15362 59 r92 66 
o115 26771 16083 743 r80 756 
o135 26730 23663 164 r23 182 
o1237 26988 22720 214 r10 220 
o1214 21483 21776 525 r9 543 
o243 29296 16857 448 r29 463 
o1126 22369 19843 399 r2 413 
o568 23709 18847 92 r54 102 
o548 24870 20906 625 r2 628 
o279 29239 15289 353 r134 369 
o1056 26927 14731 556 r20 572 
o1414 25001 19017 528 r41 542 
o1083 29258 15426 278 r23 293 
o1155 28794 15479 632 r186 647 
o759 27288 22531 615 r23 643 
o94 24541 16149 470 r2 473 
o1487 24680 17502 721 r2 728 
o1648 22324 18473 718 r83 723 
o85 25317 16312 738 r2 742 
o573 24877 19288 562 r35 585 
o838 24546 11311 594 r145 605 
o1538 29169 15450 541 r29 554 
o998 24499 18885 541 r2 548 
o1562 23481 19001 243 r49 250 
o46 28299 18006 508 r40 535 
o621 28709 13814 593 r51 598 
o411 27862 14245 568 r38 598 
o1147 25042 19742 554 r111 556 
o1183 26299 21485 603 r124 615 
o861 30962 4252 653 r21 661 
o1127 25348 16284 595 r54 625 
o1287 27728 16941 570 r199 580 
o737 26504 21599 234 r201 243 
o25 32091 3836 263 r21 279 
o1267 29181 12879 582 r28 590 
o295 28738 14859 468 r54 501 
o407 27029 22795 512 r73 513 
o1269 22892 24369 515 r10 521 
o1484 22609 22243 533 r18 558 
o858 25221 16302 484 r36 499 
o754 28651 15666 595 r23 610 
o188 29929 16528 239 r104 247 
o141 22002 21248 643 r9 674 
o1459 28673 18567 510 r38 533 
o1052 32309 6112 712 r70 750 
o1093 28188 15670 583 r23 613 
o1158 25243 16484 604 r36 612 
o893 30284 6913 237 r21 261 
o230 25898 17495 623 r36 634 
o426 24957 11914 419 r46 422 
o1312 28854 17095 574 r38 619 
o1229 23228 21266 64 r35 78 
o984 28994 15496 185 r6 196 
o1364 26210 21454 599 r38 629 
o1306 25139 19119 139 r109 149 
o1597 26099 21576 514 r110 536 
o375 28699 13440 718 r115 733 
o395 28937 17523 131 r165 160 
o799 27102 21912 337 r38 364 
o483 29638 13048 451 r46 456 
o952 25052 23724 578 r219 604 
o80 24393 16545 244 r62 249 
o1386 23572 19580 597 r36 607 
o129 21521 17908 530 r27 558 
o1428 26628 14758 548 r2 554 
o1479 29621 15231 460 r152 462 
o49 24040 21177 153 r43 173 
o853 26566 18995 633 r5 641 
o1250 27756 12347 336 r42 337 
o1133 28429 16191 532 r26 557 
o1079 28651 14887 465 r20 485 
o1611 27028 12651 175 r122 184 
o845 27162 21037 595 r110 610 
o997 21910 18783 542 r2 553 
o1379 28606 15511 501 r49 507 
o15 28978 14871 121 r14 134 
o1322 26208 10645 309 r145 322 
o147 28848 13996 493 r23 514 
o1406 20570 23210 631 r9 674 
o1045 24933 19291 248 r2 254 
o224 21743 19923 597 r9 629 
o1609 25866 17560 432 r2 439 
o960 34095 2806 769 r70 788 
o993 28828 15013 89 r51 99 
