restaurant x y 
r199 29575 16191 
r113 28375 19218 
r31 32631 5628 
r26 28565 16370 
r126 28814 14755 
r14 23827 17404 
r198 29371 16035 
r51 28778 14643 
r76 27736 20853 
r2 24887 17961 
r23 28799 15786 
r48 25269 18091 
r111 22473 18913 
r38 27639 20599 
r9 23030 21399 
r36 25239 17983 
r41 25661 20603 
r78 27335 19069 
r35 24165 19090 
r92 27069 14740 
r80 29115 15396 
r10 26059 21855 
r29 28840 15969 
r54 24834 16438 
r134 27948 20686 
r20 29199 14535 
r186 27042 20086 
r83 22864 22131 
r145 25263 12322 
r49 27029 21671 
r40 29295 16462 
r124 27595 20697 
r21 31927 5789 
r201 24581 18927 
r28 28549 11759 
r73 27634 21241 
r18 25704 21379 
r104 28466 14504 
r70 30790 348 
r46 28482 14518 
r6 28969 15001 
r109 24864 18029 
r110 27729 21140 
r115 27352 14532 
r165 29178 17010 
r219 25190 23755 
r62 28101 15042 
r27 25211 18233 
r152 29133 16405 
r43 24987 19973 
r5 26534 18885 
r42 28029 14898 
r122 26275 15888 
r19 24079 23582 
r244 25744 25856 
r34 27390 17389 
r63 27985 15828 
r143 25590 23703 
r59 28981 16276 
r119 25374 18073 
r96 27081 18053 
r137 24763 22923 
r185 22038 24597 
r81 27950 20127 
r88 27332 15599 
r91 23079 18854 
r195 29023 16178 
r159 29113 14649 
r66 29243 13180 
r136 26123 20954 
r214 21056 16568 
r94 29324 16703 
r177 30088 15989 
r87 27898 20573 
r140 24452 20484 
r57 27760 20916 
r210 26947 19407 
r82 25772 22402 
r129 29156 16246 
r79 24971 18068 
r188 27326 19776 
r117 25414 19725 
r103 28981 14207 
r112 28018 19770 
r161 29543 15456 
r125 28894 17015 
r121 29982 15208 
r118 29252 13833 
r150 27482 18771 
r236 27405 21354 
r133 28356 15410 
r127 22502 20222 
r107 24130 19319 
r169 27749 20661 
r160 24649 15551 
r170 26296 16437 
r157 28901 17433 
r229 18634 37042 
r252 15408 30942 
r245 3334 31944 
