courier on_time off_time x y 
c56 150 330 26483 18905 
c57 150 330 25246 18173 
c199 540 810 29038 16294 
c110 405 675 28484 16239 
c145 480 840 28891 14696 
c46 135 270 25114 18106 
c188 525 795 28740 14687 
c55 150 510 27666 20931 
c149 480 840 27320 18338 
c142 480 750 28449 16395 
c221 570 930 28747 14695 
c95 330 600 25343 12310 
c51 135 270 29199 16443 
c52 135 270 24914 18096 
c177 510 780 26698 21342 
c15 60 420 29421 15343 
c68 210 345 24417 13592 
c252 705 885 27419 14534 
c89 315 450 30900 425 
c61 195 465 27337 18080 
c219 570 930 28075 19762 
c204 540 900 22381 20185 
c229 570 930 28461 16255 
c11 60 420 27452 17426 
c203 540 810 27351 18247 
c251 705 885 26401 18939 
c166 495 855 28012 19814 
c14 60 420 24862 18021 
c161 495 855 25396 12397 
c2 0 360 24996 17992 
c114 420 600 24374 11273 
c67 210 345 24293 24128 
c246 615 975 22998 21470 
c133 465 735 26851 21339 
c227 570 930 26849 21425 
c126 435 795 28481 16268 
c13 60 420 24167 19088 
c205 540 810 28606 16265 
c168 495 855 26725 21448 
c81 300 570 27714 20564 
c226 570 930 25145 18206 
c63 195 375 28032 20047 
c144 480 750 27683 20619 
c111 405 675 29270 14909 
c27 90 360 27314 19839 
