OrderID,earliest_time,latest_time,start_x,start_y,finish_x,finish_y,service_time
1,657.0,724.8372144167988,7783,3988,8117,3824,1.1627855832009613
2,201.0,245.2280031821192,7905,5989,9642,6617,5.771996817880707
3,396.0,442.1402502283854,9342,4885,6598,4172,8.859749771614602
4,607.0,663.5696919038201,6991,7858,6919,8310,1.4303080961806796
5,144.0,209.52122767874062,10206,6168,10087,5710,1.4787723212601054
6,577.0,634.8873983410758,6582,3705,2599,5025,13.112601658924328
7,200.0,252.73009739703593,4115,6144,6757,5992,8.26990260296335
8,671.0,720.6415776267568,6802,4027,4100,5947,10.358422373242945
9,104.0,147.25689951985805,0,5272,118,3438,5.743100480141367
10,564.0,619.7106307490776,3748,1512,4907,3898,8.289369250921627
11,563.0,635.8383763591446,4278,5990,5589,5756,4.161623640855213
12,355.0,412.8472900436318,8464,2924,8941,3421,2.1527099563689487
13,185.0,227.05922065773848,7791,4135,9845,5631,7.94077934226232
14,144.0,215.1599480943114,8883,7552,8914,6964,1.8400519056877171
15,609.0,649.9959373739039,7466,4293,10047,7138,12.004062626096633
16,293.0,366.7516064585798,6830,6272,8423,6804,5.248393541420556
17,552.0,600.3927016850303,2294,6044,6968,6100,14.607298314969132
18,582.0,652.1826761390366,6712,3804,6160,3621,1.817323860962872
19,604.0,669.6906924703835,8215,6213,8097,3877,7.309307529615921
20,528.0,586.6695360173344,7993,5082,5169,7356,11.330463982666377
21,180.0,221.30090160037435,5678,4824,3078,3129,9.699098399625864
22,356.0,409.75514902904433,9297,7401,10257,6440,4.244850970955871
23,674.0,724.7365161108428,9466,4841,4969,5622,14.263483889157305
24,718.0,778.8141672483471,3822,4033,4620,5488,5.185832751653779
25,572.0,623.0670499999214,9528,5749,10706,6192,3.932950000079457
26,191.0,263.1658122869376,8129,3316,7868,3260,0.8341877130628333
27,471.0,529.7699382738865,8770,6019,6657,7591,8.230061726112691
28,705.0,770.9246625246124,7968,6741,10227,6589,7.075337475387658
29,263.0,340.7643990396882,9098,7800,9126,7730,0.23560096031213457
30,531.0,586.4578110928032,8917,3178,11320,1294,9.542188907196556
31,555.0,630.4964361339789,7800,4216,7701,3421,2.503563866021796
32,211.0,254.81312108546445,4150,5624,2192,5331,6.186878914535583
33,274.0,336.34372058839836,7674,4282,6824,4278,2.6562794116018744
34,335.0,378.4111948339905,4014,6283,4986,8154,6.588805166008856
35,655.0,709.4057079522408,6628,3848,7864,2553,5.594292047759484
36,586.0,639.9651530532847,6039,8151,5708,8141,1.034846946714827
37,724.0,771.2978168585942,8102,4455,7599,6209,5.702183141405141
38,665.0,730.881982016188,9105,7987,6196,7761,9.118017983812326
39,239.0,292.3764341779952,7930,6482,9226,2656,12.623565822005286
40,774.0,825.7164231356492,6460,8109,9470,6779,10.283576864350263
41,171.0,229.04592523092833,7363,7810,7549,8407,1.9540747690723095
42,119.0,196.67824638211096,5571,6646,5470,6626,0.3217536178895274
43,188.0,249.03491751062757,3881,4164,3761,6710,7.965082489371971
44,572.0,637.0152223270434,4779,5982,2544,6006,6.984777672956026
45,482.0,543.9394983266757,9050,7897,6353,5605,11.060501673324994
46,300.0,365.7946265307801,8540,3981,8496,2636,4.205373469220659
47,521.0,568.4538088710524,4035,5631,5913,3643,8.546191128947445
48,608.0,649.4843744266054,2112,6016,3307,3567,8.515625573394477
49,172.0,191.8373779902431,9499,4223,8026,4971,5.162622009756767
50,570.0,625.906778769935,9228,6289,8706,5448,3.0932212300650272
51,662.0,726.3223832437143,8169,6476,9872,7109,5.6776167562851585
52,708.0,772.3464626190125,8570,6686,7645,7853,4.653537380987715
53,588.0,646.9946001442186,4326,5528,2342,3438,9.005399855780976
54,515.0,551.2904497674754,7851,4334,3556,3440,13.709550232524952
55,210.0,275.76665390983544,8359,5019,8382,5413,1.2333460901648814
56,541.0,582.5531880089293,7851,4334,7687,7032,8.44681199107095
57,536.0,590.7223597765551,7927,6892,7193,8413,5.277640223445038
58,505.0,568.0584594495813,8540,3981,6120,6046,9.941540550418985
59,522.0,557.4637653590726,8593,6346,6750,7335,6.536234640926686
60,627.0,678.7134745576786,8970,3034,8609,5661,8.286525442322011
61,590.0,655.0228494978801,3919,4257,5709,3583,5.977150502120555
62,704.0,773.2502468150524,9050,7897,8744,8722,2.7497531849467873
63,698.2036455443867,733.1829256516339,7927,6892,8972,3599,16.35852632179473
64,655.8642481070237,695.8642481070237,7760,4290,5808,6259,8.753216392201027
65,702.0,767.0351654109163,9191,7902,9036,6966,2.9648345890833436
66,576.0,630.7411282854191,4119,4099,5460,4342,4.258871714580048
67,664.0,711.9965946958982,7851,4334,7415,4804,2.003405304100995
68,557.0,619.9176757504101,8359,5019,8234,5342,1.082324249589743
69,662.645142984702,702.6451429847075,7927,6892,5921,6051,11.1143189752663
70,649.0,693.2963536197221,7851,4334,9076,2981,5.703646380277269
71,226.0,290.61656525273065,7876,2737,10877,2636,9.383434747268721
72,721.0,772.3731247312262,3919,4257,347,5298,11.626875268773851
73,601.0,661.3379846297157,7927,6892,6863,3989,9.662015370285072
74,722.8036427627649,759.9913233771294,8593,6346,9062,7948,10.008676622870354
75,325.0,358.4604571782911,6141,8160,3034,6848,10.539542821708398
76,794.0,853.2830577688801,9050,7897,8960,7355,1.716942231119032
77,56.0,108.06649645392281,9499,4223,10186,6667,7.933503546077546
78,219.0,279.1939596607954,4033,6411,7451,6935,10.80604033920381
79,633.0,685.0425640058329,4375,6054,8840,5943,13.957435994166335
80,230.0,271.596387600468,2112,6016,842,4016,7.403612399531731
81,91.0,127.60744481928486,9499,4223,10255,5408,4.392555180714865
