courier on_time off_time x y 
c88 555 825 8074 6338 
c45 420 600 8459 3910 
c113 705 885 7743 4156 
c40 360 540 2161 6086 
c22 195 465 2181 6004 
c12 105 375 2156 6068 
c73 525 795 5878 8043 
c65 495 855 4258 5543 
c42 390 525 8702 6744 
c69 510 870 3851 4238 
c47 435 705 3832 1498 
c26 210 390 8725 8626 
c44 420 555 8516 3898 
c7 75 435 3575 4043 
c99 585 765 7909 1955 
c14 135 495 3660 4039 
c110 660 795 7859 3206 
c95 585 855 4432 5927 
c25 210 345 8157 6649 
c55 465 645 7951 6457 
c24 195 465 4016 6360 
c72 510 780 7898 4023 
c63 495 855 7740 4262 
c109 660 795 8174 6465 
c98 585 765 7936 5127 
c53 465 645 7745 6972 
c49 450 720 8054 6628 
c94 570 930 6670 3762 
c77 525 795 5175 6613 
c100 585 765 5579 4826 
c51 450 720 9215 6400 
c21 180 315 7854 6477 
c67 495 855 7853 7012 
c39 330 465 2152 5998 
c19 165 435 7776 6050 
c54 465 645 3830 4351 
c15 135 405 3650 4168 
c83 540 810 8239 5013 
c38 330 465 8101 6289 
c36 300 480 8345 6419 
c6 30 390 9455 4284 
c93 570 930 2142 6050 
c23 195 465 8331 5083 
c60 480 660 7923 4231 
c34 285 465 4224 5507 
c56 480 660 6797 6310 
c108 645 825 8069 6551 
c33 285 420 4333 5502 
c35 300 480 3971 6144 
c91 555 825 8182 4998 
c85 540 720 3533 4050 
c75 525 795 7829 5315 
c16 150 330 7885 4204 
c104 600 870 7790 4240 
c1 0 360 6129 8171 
c5 15 195 9548 4289 
c74 525 795 8213 6645 
c3 15 195 9595 4319 
c87 540 810 3759 1396 
c61 480 660 3905 1539 
c41 375 555 8533 2797 
c28 210 390 8188 6486 
c116 750 885 7903 4222 
c90 555 825 6736 3874 
c68 510 780 8148 5024 
c76 525 795 2336 6075 
c27 210 345 3651 4029 
c66 495 855 8095 6576 
c112 705 885 8914 8023 
c80 540 720 8162 6186 
c29 210 345 8729 8780 
c4 15 195 6752 2631 
c86 540 810 3519 4107 
c101 585 855 7980 4975 
c92 570 930 6813 3853 
c111 660 795 9321 6177 
c9 105 285 2139 6004 
c89 555 825 4159 4050 
c11 105 375 9018 5540 
c102 585 765 7910 4217 
c52 450 720 8321 5134 
c13 105 240 2099 6024 
c2 0 360 7881 6539 
c64 495 855 2206 6163 
c79 540 720 3740 4233 
c10 105 375 7889 4229 
c46 435 570 8167 6597 
c20 165 300 2083 5994 
c115 705 885 6650 3838 
c59 480 660 8572 6361 
c81 540 810 8043 6314 
c58 480 660 8450 6588 
c106 615 750 7878 4274 
