restaurant x y 
r10 5330 6553 
r22 8068 6258 
r48 7783 3988 
r56 7905 5989 
r77 5658 4704 
r25 9342 4885 
r2 8359 5019 
r41 4375 6054 
r1 7760 4290 
r13 3919 4257 
r20 7927 6892 
r28 8570 6686 
r16 7851 4334 
r90 8593 6346 
r95 6991 7858 
r58 7748 6882 
r4 7668 4039 
r3 8154 5065 
r12 8169 6476 
r14 5886 8078 
r11 2112 6016 
r49 8574 2826 
r6 10206 6168 
r21 4033 6411 
r75 9228 6289 
r37 9050 7897 
r88 6582 3705 
r100 8724 6625 
r24 7777 3265 
r19 4119 4099 
r116 4115 6144 
r62 9241 7709 
r51 6802 4027 
r113 0 5272 
r8 5517 4751 
r84 3748 1512 
r45 8147 6021 
r39 4779 5982 
r17 7876 2737 
r66 9191 7902 
r78 4278 5990 
r93 4326 5528 
r60 8464 2924 
r87 7791 4135 
r102 4035 5631 
r33 8883 7552 
r27 8970 3034 
r30 8540 3981 
r94 7466 4293 
r15 6830 6272 
r23 2294 6044 
r5 6712 3804 
r7 8215 6213 
r18 7993 5082 
r105 7115 5000 
r43 5678 4824 
r61 9297 7401 
r36 9466 4841 
r101 10760 1625 
r109 3822 4033 
r63 9420 7581 
r67 9499 4223 
r40 9528 5749 
r70 8129 3316 
r31 3645 4000 
r91 8770 6019 
r29 7968 6741 
r44 9098 7800 
r32 8917 3178 
r55 7800 4216 
r46 4150 5624 
r68 7674 4282 
r96 4014 6283 
r53 6628 3848 
r74 6039 8151 
r89 8102 4455 
r59 9105 7987 
r54 7930 6482 
r52 6460 8109 
r81 7363 7810 
r99 6141 8160 
r83 5571 6646 
r103 3881 4164 
