order x y placement_time restaurant ready_time 
o207 9419 6880 329 r10 344 
o357 8536 5669 344 r22 358 
o82 8117 3824 646 r48 657 
o114 9642 6617 171 r56 201 
o191 9523 4086 216 r77 228 
o395 6598 4172 371 r25 396 
o412 8382 5413 197 r2 210 
o67 8840 5943 619 r41 633 
o139 5808 6259 628 r1 638 
o283 4400 6274 657 r13 677 
o429 7523 2291 760 r1 780 
o243 7193 8413 516 r20 536 
o284 4910 6097 587 r28 602 
o112 3556 3440 485 r16 515 
o458 9596 7638 536 r90 545 
o383 6919 8310 585 r95 607 
o498 8344 5633 330 r1 340 
o245 7376 5350 152 r1 162 
o130 8075 6137 585 r58 615 
o144 8234 7308 610 r1 620 
o318 8596 7643 276 r1 286 
o4 5378 4350 566 r4 582 
o148 8939 4361 117 r1 127 
o186 7645 7853 697 r28 708 
o147 9526 2669 554 r3 584 
o492 5856 3369 633 r3 663 
o294 8590 5595 626 r22 642 
o386 7769 6791 614 r58 644 
o13 8666 6802 508 r12 518 
o135 7809 5032 514 r1 534 
o123 6863 3989 591 r20 601 
o194 8874 6834 177 r22 192 
o250 6856 8085 498 r14 541 
o482 3307 3567 578 r11 608 
o279 8424 6800 613 r49 623 
o69 9196 5295 680 r1 700 
o480 5416 5549 436 r12 451 
o6 10087 5710 131 r6 144 
o270 7441 7036 687 r90 696 
o75 7451 6935 210 r21 219 
o350 8706 5448 549 r75 570 
o422 7415 4804 634 r16 664 
o407 5921 6051 634 r20 656 
o332 6353 5605 475 r37 482 
o152 434 3269 177 r11 197 
o225 2599 5025 568 r88 577 
o466 8694 6665 229 r100 230 
o2 8234 5342 541 r2 557 
o221 8122 5157 631 r24 661 
o22 1612 5587 152 r19 160 
o54 7460 6754 740 r1 750 
o487 6757 5992 181 r116 200 
o208 9655 2663 604 r1 624 
o49 842 4016 199 r11 230 
o319 8735 6205 583 r77 597 
o257 8431 5537 602 r62 603 
o175 6171 5739 462 r13 463 
o127 4100 5947 651 r51 671 
o193 5201 5339 240 r1 250 
o430 118 3438 73 r113 104 
o25 8287 7554 625 r20 656 
o11 2263 5087 526 r10 541 
o9 8391 4889 680 r8 700 
o403 6802 3472 459 r22 469 
o211 4907 3898 548 r84 564 
o465 7574 7093 550 r45 570 
o107 7778 7938 528 r28 544 
o241 6595 6729 570 r3 600 
o163 3884 2991 72 r39 95 
o76 8175 7294 93 r3 123 
o202 5806 2515 487 r17 502 
o38 10370 5532 594 r1 614 
o338 8204 6629 641 r1 661 
o474 9076 2981 619 r16 649 
o189 4362 6516 643 r41 658 
o183 9727 4442 703 r1 723 
o485 8972 3599 669 r20 688 
o439 8808 6474 521 r20 547 
o358 10185 5342 683 r24 697 
o380 5709 3583 581 r13 590 
o266 10585 6052 100 r66 122 
o385 6723 2013 558 r8 571 
o367 10450 5291 671 r20 688 
o195 5589 5756 560 r78 563 
o378 9872 7109 652 r12 662 
o26 6265 6016 623 r1 633 
o180 3793 4368 430 r14 444 
o503 2342 3438 576 r93 588 
o68 4095 3632 631 r1 641 
o459 8941 3421 335 r60 355 
o265 6066 8108 552 r12 562 
o255 1031 4906 568 r11 595 
o287 9845 5631 155 r87 185 
o501 5913 3643 497 r102 521 
o43 8914 6964 137 r33 144 
o77 7940 4118 652 r45 679 
o463 5881 6329 420 r17 433 
o168 5653 2682 228 r1 238 
o33 7294 5720 643 r27 667 
o237 4956 5278 500 r1 518 
o100 1991 3864 540 r39 544 
o336 4987 6417 712 r13 723 
o51 6862 4701 493 r1 503 
o62 9634 2761 595 r30 606 
o217 3904 4175 588 r41 605 
o96 10759 4215 541 r1 561 
o28 7041 3920 621 r22 642 
o312 7383 5092 403 r100 415 
o320 8925 6050 180 r20 195 
o388 767 5028 662 r39 663 
o252 9275 6566 578 r2 589 
o274 9515 7088 542 r22 554 
o72 3900 5227 584 r4 599 
o368 10877 2636 220 r17 226 
o272 10047 7138 582 r94 609 
o271 7687 7032 511 r16 541 
o447 8423 6804 292 r15 293 
o124 2700 4198 525 r13 545 
o106 8768 8139 665 r39 673 
o178 8744 8722 696 r37 704 
o29 6968 6100 535 r23 552 
o303 8609 5661 607 r27 627 
o414 10314 7194 618 r1 638 
o5 6160 3621 574 r5 582 
o63 6251 7857 486 r21 503 
o505 8097 3877 597 r7 604 
o342 2623 5695 555 r102 565 
o233 9667 7614 564 r22 587 
o356 347 5298 704 r13 721 
o65 5460 4342 555 r19 576 
o236 5169 7356 518 r18 528 
o291 7310 4173 573 r90 596 
o496 6122 5196 663 r105 673 
o490 9637 7167 551 r20 556 
o341 3147 5206 523 r93 536 
o105 10186 5444 263 r27 274 
o400 3078 3129 151 r43 180 
o126 10257 6440 334 r61 356 
o48 4969 5622 659 r36 674 
o277 8269 4169 226 r30 237 
o339 11674 445 238 r101 247 
o387 4620 5488 704 r109 718 
o371 9337 7914 611 r63 613 
o379 8960 7355 775 r37 794 
o370 10255 5408 52 r67 91 
o477 2544 6006 564 r39 572 
o55 9425 7061 102 r37 117 
o454 6778 6003 739 r28 754 
o64 10706 6192 547 r40 572 
o262 8758 6739 606 r90 625 
o227 9389 7060 33 r39 48 
o181 8570 2655 720 r28 745 
o136 5967 5286 264 r37 279 
o160 7868 3260 184 r70 191 
o420 7573 3413 541 r31 556 
o391 6657 7591 458 r91 471 
o489 6750 7335 484 r90 522 
o203 10227 6589 698 r29 705 
o416 8690 6563 428 r45 441 
o475 8554 6585 496 r105 509 
o286 6120 6046 498 r30 505 
o94 9126 7730 261 r44 263 
o415 11320 1294 516 r32 531 
o438 7701 3421 553 r55 555 
o78 2192 5331 181 r46 211 
o30 7316 2760 614 r24 630 
o184 6073 5151 98 r31 105 
o42 8150 4551 146 r31 162 
o90 5923 5528 614 r28 624 
o156 6824 4278 259 r68 274 
o85 9005 3838 493 r28 503 
o158 8293 3038 532 r24 558 
o171 7881 4582 225 r31 234 
o402 8496 2636 290 r30 300 
o353 6772 3673 228 r90 250 
o269 4986 8154 305 r96 335 
o204 9143 3915 278 r62 280 
o153 8026 4971 117 r67 172 
o101 7864 2553 635 r53 655 
o131 7694 3442 256 r62 266 
o132 8493 7540 792 r63 822 
o159 10186 6667 36 r67 56 
o86 8013 7278 383 r49 390 
o182 5708 8141 561 r74 586 
o232 7599 6209 697 r89 724 
o150 6196 7761 660 r59 665 
o310 8987 6962 738 r75 753 
o268 9226 2656 225 r54 239 
o325 8351 6711 552 r90 602 
o301 9062 7948 690 r90 705 
o99 9470 6779 756 r52 774 
o491 9036 6966 690 r66 702 
o290 7549 8407 151 r81 171 
o486 5661 3685 270 r77 292 
o390 4824 6302 49 r99 88 
o209 5470 6626 117 r83 119 
o502 3034 6848 289 r99 325 
o440 7294 0 499 r101 506 
o306 3101 6869 4 r99 11 
o343 3761 6710 177 r103 188 
